ser
ter
estar
poder
fazer
ir
haver
dizer
dar
ver
saber
querer
ficar
dever
passar
vir
chegar
falar
deixar
encontrar
levar
começar
partir
pensar
parecer
apresentar
olhar
tornar
sair
voltar
conseguir
achar
existir
sentir
entrar
chamar
conhecer
considerar
pôr
continuar
viver
ouvir
tomar
acabar
receber
perder
andar
trabalhar
criar
pedir
seguir
contar
acontecer
afirmar
tratar
esperar
gostar
usar
manter
realizar
abrir
escrever
permitir
ocorrer
mostrar
lembrar
trazer
procurar
morrer
tentar
formar
aparecer
incluir
cair
correr
ganhar
surgir
nascer
pagar
representar
entender
produzir
ler
precisar
perguntar
constituir
colocar
possuir
servir
tirar
responder
obter
desenvolver
explicar
descobrir
acreditar
levantar
mandar
estudar
atingir
sofrer
parar
bater
decidir
referir
fechar
aumentar
acompanhar
defender
lançar
mudar
resolver
participar
subir
utilizar
provocar
compreender
estabelecer
pretender
iniciar
perceber
garantir
comer
vender
observar
comprar
aceitar
resultar
reconhecer
sentar
marcar
construir
crescer
publicar
ajudar
assumir
revelar
prever
ocupar
oferecer
dirigir
esquecer
tocar
envolver
matar
fugir
indicar
valer
terminar
jogar
conter
definir
rir
escolher
destacar
reunir
descer
dormir
causar
evitar
determinar
anunciar
exigir
transformar
vencer
faltar
entregar
casar
pegar
eleger
julgar
permanecer
apontar
virar
concluir
significar
depender
repetir
abandonar
obrigar
preparar
aplicar
reduzir
pertencer
funcionar
retirar
meter
verificar
estender
acrescentar
desejar
dividir
buscar
cumprir
aproximar
sorrir
imaginar
discutir
apoiar
gerar
cantar
afastar
admitir
fixar
dispor
chorar
erguer
preferir
aproveitar
gritar
promover
integrar
atravessar
alcançar
propor
informar
atribuir
aprender
deitar
cortar
enviar
morar
acusar
impedir
desaparecer
avançar
custar
amar
interessar
exercer
dedicar
assistir
cobrir
compor
conduzir
consistir
substituir
descrever
analisar
confirmar
completar
regressar
bastar
prometer
adquirir
baixar
conversar
demonstrar
contribuir
corresponder
importar
identificar
jantar
pesar
prestar
apanhar
ligar
atirar
caracterizar
enfrentar
declarar
notar
citar
alimentar
fornecer
guardar
conquistar
caber
beber
designar
juntar
esconder
variar
decorrer
salvar
controlar
atender
introduzir
cuidar
durar
dominar
adiantar
recordar
visitar
calar
comentar
melhorar
fundar
convidar
proteger
acordar
puxar
instalar
viajar
limitar
encher
merecer
assegurar
crer
caminhar
conceder
suceder
separar
votar
unir
negar
avaliar
recusar
sugerir
costumar
alterar
preocupar
mover
justificar
impor
diminuir
atacar
lutar
insistir
divulgar
concordar
recolher
respeitar
praticar
disputar
deter
transmitir
carregar
arrastar
arranjar
temer
trocar
destruir
recuperar
restar
ensinar
comparar
quebrar
calcular
ameaçar
libertar
visar
manifestar
amanhecer
atrair
registar
voar
prosseguir
demorar
ultrapassar
criticar
saltar
gastar
reparar
soltar
executar
limpar
invadir
montar
assinar
aprovar
investir
influenciar
apertar
sustentar
inventar
distinguir
opor
escapar
resistir
cometer
agir
pintar
medir
interromper
organizar
escutar
empregar
distribuir
espalhar
emitir
basear
operar
supor
arrancar
provar
ferir
estimar
romper
derivar
ceder
percorrer
roubar
comandar
reclamar
