conj,infinitive,mode,pess,time
despedindo,despedir,gerundio,,
despedido,despedir,participio,,
despeço,despedir,indicativo,eu,presente
despedi,despedir,indicativo,eu,pretérito perfeito
despedia,despedir,indicativo,eu,pretérito imperfeito
despedes,despedir,indicativo,tu,presente
despediste,despedir,indicativo,tu,pretérito perfeito
despedias,despedir,indicativo,tu,pretérito imperfeito
despede,despedir,indicativo,ele/ela,presente
despediu,despedir,indicativo,ele/ela,pretérito perfeito
despedia,despedir,indicativo,ele/ela,pretérito imperfeito
despedimos,despedir,indicativo,nós,presente
despedimos,despedir,indicativo,nós,pretérito perfeito
despedíamos,despedir,indicativo,nós,pretérito imperfeito
despedis,despedir,indicativo,vós,presente
despedistes,despedir,indicativo,vós,pretérito perfeito
despedíeis,despedir,indicativo,vós,pretérito imperfeito
despedem,despedir,indicativo,eles/elas,presente
despediram,despedir,indicativo,eles/elas,pretérito perfeito
despediam,despedir,indicativo,eles/elas,pretérito imperfeito
despedira,despedir,indicativo,eu,pret. mais-que-perfeito
despedirei,despedir,indicativo,eu,futuro
despediria,despedir,indicativo,eu,condicional
despediras,despedir,indicativo,tu,pret. mais-que-perfeito
despedirás,despedir,indicativo,tu,futuro
despedirias,despedir,indicativo,tu,condicional
despedira,despedir,indicativo,ele/ela,pret. mais-que-perfeito
despedirá,despedir,indicativo,ele/ela,futuro
despediria,despedir,indicativo,ele/ela,condicional
despedíramos,despedir,indicativo,nós,pret. mais-que-perfeito
despediremos,despedir,indicativo,nós,futuro
despediríamos,despedir,indicativo,nós,condicional
despedíreis,despedir,indicativo,vós,pret. mais-que-perfeito
despedireis,despedir,indicativo,vós,futuro
despediríeis,despedir,indicativo,vós,condicional
despediram,despedir,indicativo,eles/elas,pret. mais-que-perfeito
despedirão,despedir,indicativo,eles/elas,futuro
despediriam,despedir,indicativo,eles/elas,condicional
despeça,despedir,conjuntivo subjuntivo (br),eu,presente
despedisse,despedir,conjuntivo subjuntivo (br),eu,pretérito imperfeito
despedir,despedir,conjuntivo subjuntivo (br),eu,futuro
despeças,despedir,conjuntivo subjuntivo (br),tu,presente
despedisses,despedir,conjuntivo subjuntivo (br),tu,pretérito imperfeito
despedires,despedir,conjuntivo subjuntivo (br),tu,futuro
despeça,despedir,conjuntivo subjuntivo (br),ele/ela,presente
despedisse,despedir,conjuntivo subjuntivo (br),ele/ela,pretérito imperfeito
despedir,despedir,conjuntivo subjuntivo (br),ele/ela,futuro
despeçamos,despedir,conjuntivo subjuntivo (br),nós,presente
despedíssemos,despedir,conjuntivo subjuntivo (br),nós,pretérito imperfeito
despedirmos,despedir,conjuntivo subjuntivo (br),nós,futuro
despeçais,despedir,conjuntivo subjuntivo (br),vós,presente
despedísseis,despedir,conjuntivo subjuntivo (br),vós,pretérito imperfeito
despedirdes,despedir,conjuntivo subjuntivo (br),vós,futuro
despeçam,despedir,conjuntivo subjuntivo (br),eles/elas,presente
despedissem,despedir,conjuntivo subjuntivo (br),eles/elas,pretérito imperfeito
despedirem,despedir,conjuntivo subjuntivo (br),eles/elas,futuro
despedir,despedir,imperativo,eu,infinitivo pessoal
despedires,despedir,imperativo,tu,infinitivo pessoal
despede,despedir,imperativo,tu,afirmativo
despeças,despedir,imperativo,tu,negativo
despedir,despedir,imperativo,ele/ela,infinitivo pessoal
despeça,despedir,imperativo,ele/ela,afirmativo
despeça,despedir,imperativo,ele/ela,negativo
despedirmos,despedir,imperativo,nós,infinitivo pessoal
despeçamos,despedir,imperativo,nós,afirmativo
despeçamos,despedir,imperativo,nós,negativo
despedirdes,despedir,imperativo,vós,infinitivo pessoal
despedi,despedir,imperativo,vós,afirmativo
despeçais,despedir,imperativo,vós,negativo
despedirem,despedir,imperativo,eles/elas,infinitivo pessoal
despeçam,despedir,imperativo,eles/elas,afirmativo
despeçam,despedir,imperativo,eles/elas,negativo
superando,superar,gerundio,,
superado,superar,participio,,
supero,superar,indicativo,eu,presente
superei,superar,indicativo,eu,pretérito perfeito
superava,superar,indicativo,eu,pretérito imperfeito
superas,superar,indicativo,tu,presente
superaste,superar,indicativo,tu,pretérito perfeito
superavas,superar,indicativo,tu,pretérito imperfeito
supera,superar,indicativo,ele/ela,presente
superou,superar,indicativo,ele/ela,pretérito perfeito
superava,superar,indicativo,ele/ela,pretérito imperfeito
superamos,superar,indicativo,nós,presente
superámos / superamos,superar,indicativo,nós,pretérito perfeito
superávamos,superar,indicativo,nós,pretérito imperfeito
superais,superar,indicativo,vós,presente
superastes,superar,indicativo,vós,pretérito perfeito
superáveis,superar,indicativo,vós,pretérito imperfeito
superam,superar,indicativo,eles/elas,presente
superaram,superar,indicativo,eles/elas,pretérito perfeito
superavam,superar,indicativo,eles/elas,pretérito imperfeito
superara,superar,indicativo,eu,pret. mais-que-perfeito
superarei,superar,indicativo,eu,futuro
superaria,superar,indicativo,eu,condicional
superaras,superar,indicativo,tu,pret. mais-que-perfeito
superarás,superar,indicativo,tu,futuro
superarias,superar,indicativo,tu,condicional
superara,superar,indicativo,ele/ela,pret. mais-que-perfeito
superará,superar,indicativo,ele/ela,futuro
superaria,superar,indicativo,ele/ela,condicional
superáramos,superar,indicativo,nós,pret. mais-que-perfeito
superaremos,superar,indicativo,nós,futuro
superaríamos,superar,indicativo,nós,condicional
superáreis,superar,indicativo,vós,pret. mais-que-perfeito
superareis,superar,indicativo,vós,futuro
superaríeis,superar,indicativo,vós,condicional
superaram,superar,indicativo,eles/elas,pret. mais-que-perfeito
superarão,superar,indicativo,eles/elas,futuro
superariam,superar,indicativo,eles/elas,condicional
supere,superar,conjuntivo subjuntivo (br),eu,presente
superasse,superar,conjuntivo subjuntivo (br),eu,pretérito imperfeito
superar,superar,conjuntivo subjuntivo (br),eu,futuro
superes,superar,conjuntivo subjuntivo (br),tu,presente
superasses,superar,conjuntivo subjuntivo (br),tu,pretérito imperfeito
superares,superar,conjuntivo subjuntivo (br),tu,futuro
