conj,infinitive,mode,pess,time
deslocando,deslocar,gerundio,,
deslocado,deslocar,participio,,
desloco,deslocar,indicativo,eu,presente
desloquei,deslocar,indicativo,eu,pretérito perfeito
deslocava,deslocar,indicativo,eu,pretérito imperfeito
deslocas,deslocar,indicativo,tu,presente
deslocaste,deslocar,indicativo,tu,pretérito perfeito
deslocavas,deslocar,indicativo,tu,pretérito imperfeito
desloca,deslocar,indicativo,ele/ela,presente
deslocou,deslocar,indicativo,ele/ela,pretérito perfeito
deslocava,deslocar,indicativo,ele/ela,pretérito imperfeito
deslocamos,deslocar,indicativo,nós,presente
deslocámos / deslocamos,deslocar,indicativo,nós,pretérito perfeito
deslocávamos,deslocar,indicativo,nós,pretérito imperfeito
deslocais,deslocar,indicativo,vós,presente
deslocastes,deslocar,indicativo,vós,pretérito perfeito
deslocáveis,deslocar,indicativo,vós,pretérito imperfeito
deslocam,deslocar,indicativo,eles/elas,presente
deslocaram,deslocar,indicativo,eles/elas,pretérito perfeito
deslocavam,deslocar,indicativo,eles/elas,pretérito imperfeito
deslocara,deslocar,indicativo,eu,pret. mais-que-perfeito
deslocarei,deslocar,indicativo,eu,futuro
deslocaria,deslocar,indicativo,eu,condicional
deslocaras,deslocar,indicativo,tu,pret. mais-que-perfeito
deslocarás,deslocar,indicativo,tu,futuro
deslocarias,deslocar,indicativo,tu,condicional
deslocara,deslocar,indicativo,ele/ela,pret. mais-que-perfeito
deslocará,deslocar,indicativo,ele/ela,futuro
deslocaria,deslocar,indicativo,ele/ela,condicional
deslocáramos,deslocar,indicativo,nós,pret. mais-que-perfeito
deslocaremos,deslocar,indicativo,nós,futuro
deslocaríamos,deslocar,indicativo,nós,condicional
deslocáreis,deslocar,indicativo,vós,pret. mais-que-perfeito
deslocareis,deslocar,indicativo,vós,futuro
deslocaríeis,deslocar,indicativo,vós,condicional
deslocaram,deslocar,indicativo,eles/elas,pret. mais-que-perfeito
deslocarão,deslocar,indicativo,eles/elas,futuro
deslocariam,deslocar,indicativo,eles/elas,condicional
desloque,deslocar,conjuntivo subjuntivo (br),eu,presente
deslocasse,deslocar,conjuntivo subjuntivo (br),eu,pretérito imperfeito
deslocar,deslocar,conjuntivo subjuntivo (br),eu,futuro
desloques,deslocar,conjuntivo subjuntivo (br),tu,presente
deslocasses,deslocar,conjuntivo subjuntivo (br),tu,pretérito imperfeito
deslocares,deslocar,conjuntivo subjuntivo (br),tu,futuro
desloque,deslocar,conjuntivo subjuntivo (br),ele/ela,presente
deslocasse,deslocar,conjuntivo subjuntivo (br),ele/ela,pretérito imperfeito
deslocar,deslocar,conjuntivo subjuntivo (br),ele/ela,futuro
desloquemos,deslocar,conjuntivo subjuntivo (br),nós,presente
deslocássemos,deslocar,conjuntivo subjuntivo (br),nós,pretérito imperfeito
deslocarmos,deslocar,conjuntivo subjuntivo (br),nós,futuro
desloqueis,deslocar,conjuntivo subjuntivo (br),vós,presente
deslocásseis,deslocar,conjuntivo subjuntivo (br),vós,pretérito imperfeito
deslocardes,deslocar,conjuntivo subjuntivo (br),vós,futuro
desloquem,deslocar,conjuntivo subjuntivo (br),eles/elas,presente
deslocassem,deslocar,conjuntivo subjuntivo (br),eles/elas,pretérito imperfeito
deslocarem,deslocar,conjuntivo subjuntivo (br),eles/elas,futuro
deslocar,deslocar,imperativo,eu,infinitivo pessoal
deslocares,deslocar,imperativo,tu,infinitivo pessoal
desloca,deslocar,imperativo,tu,afirmativo
desloques,deslocar,imperativo,tu,negativo
deslocar,deslocar,imperativo,ele/ela,infinitivo pessoal
desloque,deslocar,imperativo,ele/ela,afirmativo
desloque,deslocar,imperativo,ele/ela,negativo
deslocarmos,deslocar,imperativo,nós,infinitivo pessoal
desloquemos,deslocar,imperativo,nós,afirmativo
desloquemos,deslocar,imperativo,nós,negativo
deslocardes,deslocar,imperativo,vós,infinitivo pessoal
deslocai,deslocar,imperativo,vós,afirmativo
desloqueis,deslocar,imperativo,vós,negativo
deslocarem,deslocar,imperativo,eles/elas,infinitivo pessoal
desloquem,deslocar,imperativo,eles/elas,afirmativo
desloquem,deslocar,imperativo,eles/elas,negativo
negociando,negociar,gerundio,,
negociado,negociar,participio,,
negocio ≈ negoceio,negociar,indicativo,eu,presente
negociei,negociar,indicativo,eu,pretérito perfeito
negociava,negociar,indicativo,eu,pretérito imperfeito
negocias ≈ negoceias,negociar,indicativo,tu,presente
negociaste,negociar,indicativo,tu,pretérito perfeito
negociavas,negociar,indicativo,tu,pretérito imperfeito
negocia ≈ negoceia,negociar,indicativo,ele/ela,presente
negociou,negociar,indicativo,ele/ela,pretérito perfeito
negociava,negociar,indicativo,ele/ela,pretérito imperfeito
negociamos,negociar,indicativo,nós,presente
negociámos / negociamos,negociar,indicativo,nós,pretérito perfeito
negociávamos,negociar,indicativo,nós,pretérito imperfeito
negociais,negociar,indicativo,vós,presente
negociastes,negociar,indicativo,vós,pretérito perfeito
negociáveis,negociar,indicativo,vós,pretérito imperfeito
negociam ≈ negoceiam,negociar,indicativo,eles/elas,presente
negociaram,negociar,indicativo,eles/elas,pretérito perfeito
negociavam,negociar,indicativo,eles/elas,pretérito imperfeito
negociara,negociar,indicativo,eu,pret. mais-que-perfeito
negociarei,negociar,indicativo,eu,futuro
negociaria,negociar,indicativo,eu,condicional
negociaras,negociar,indicativo,tu,pret. mais-que-perfeito
negociarás,negociar,indicativo,tu,futuro
negociarias,negociar,indicativo,tu,condicional
negociara,negociar,indicativo,ele/ela,pret. mais-que-perfeito
negociará,negociar,indicativo,ele/ela,futuro
negociaria,negociar,indicativo,ele/ela,condicional
negociáramos,negociar,indicativo,nós,pret. mais-que-perfeito
negociaremos,negociar,indicativo,nós,futuro
negociaríamos,negociar,indicativo,nós,condicional
