conj,infinitive,mode,pess,time
cobro,cobrar,indicativo,eu,presente
cobrei,cobrar,indicativo,eu,pretérito perfeito
cobrava,cobrar,indicativo,eu,pretérito imperfeito
cobras,cobrar,indicativo,tu,presente
cobraste,cobrar,indicativo,tu,pretérito perfeito
cobravas,cobrar,indicativo,tu,pretérito imperfeito
cobra,cobrar,indicativo,ele/ela,presente
cobrou,cobrar,indicativo,ele/ela,pretérito perfeito
cobrava,cobrar,indicativo,ele/ela,pretérito imperfeito
cobramos,cobrar,indicativo,nós,presente
cobrámos / cobramos,cobrar,indicativo,nós,pretérito perfeito
cobrávamos,cobrar,indicativo,nós,pretérito imperfeito
cobrais,cobrar,indicativo,vós,presente
cobrastes,cobrar,indicativo,vós,pretérito perfeito
cobráveis,cobrar,indicativo,vós,pretérito imperfeito
cobram,cobrar,indicativo,eles/elas,presente
cobraram,cobrar,indicativo,eles/elas,pretérito perfeito
cobravam,cobrar,indicativo,eles/elas,pretérito imperfeito
cobrara,cobrar,indicativo,eu,pret. mais-que-perfeito
cobrarei,cobrar,indicativo,eu,futuro
cobraria,cobrar,indicativo,eu,condicional
cobraras,cobrar,indicativo,tu,pret. mais-que-perfeito
cobrarás,cobrar,indicativo,tu,futuro
cobrarias,cobrar,indicativo,tu,condicional
cobrara,cobrar,indicativo,ele/ela,pret. mais-que-perfeito
cobrará,cobrar,indicativo,ele/ela,futuro
cobraria,cobrar,indicativo,ele/ela,condicional
cobráramos,cobrar,indicativo,nós,pret. mais-que-perfeito
cobraremos,cobrar,indicativo,nós,futuro
cobraríamos,cobrar,indicativo,nós,condicional
cobráreis,cobrar,indicativo,vós,pret. mais-que-perfeito
cobrareis,cobrar,indicativo,vós,futuro
cobraríeis,cobrar,indicativo,vós,condicional
cobraram,cobrar,indicativo,eles/elas,pret. mais-que-perfeito
cobrarão,cobrar,indicativo,eles/elas,futuro
cobrariam,cobrar,indicativo,eles/elas,condicional
desloco,deslocar,indicativo,eu,presente
desloquei,deslocar,indicativo,eu,pretérito perfeito
deslocava,deslocar,indicativo,eu,pretérito imperfeito
deslocas,deslocar,indicativo,tu,presente
deslocaste,deslocar,indicativo,tu,pretérito perfeito
deslocavas,deslocar,indicativo,tu,pretérito imperfeito
desloca,deslocar,indicativo,ele/ela,presente
deslocou,deslocar,indicativo,ele/ela,pretérito perfeito
deslocava,deslocar,indicativo,ele/ela,pretérito imperfeito
deslocamos,deslocar,indicativo,nós,presente
deslocámos / deslocamos,deslocar,indicativo,nós,pretérito perfeito
deslocávamos,deslocar,indicativo,nós,pretérito imperfeito
deslocais,deslocar,indicativo,vós,presente
deslocastes,deslocar,indicativo,vós,pretérito perfeito
deslocáveis,deslocar,indicativo,vós,pretérito imperfeito
deslocam,deslocar,indicativo,eles/elas,presente
deslocaram,deslocar,indicativo,eles/elas,pretérito perfeito
deslocavam,deslocar,indicativo,eles/elas,pretérito imperfeito
deslocara,deslocar,indicativo,eu,pret. mais-que-perfeito
deslocarei,deslocar,indicativo,eu,futuro
