conj,infinitive,mode,pess,time
persisto,persistir,indicativo,eu,presente
persisti,persistir,indicativo,eu,pretérito perfeito
persistia,persistir,indicativo,eu,pretérito imperfeito
persistes,persistir,indicativo,tu,presente
persististe,persistir,indicativo,tu,pretérito perfeito
persistias,persistir,indicativo,tu,pretérito imperfeito
persiste,persistir,indicativo,ele/ela,presente
persistiu,persistir,indicativo,ele/ela,pretérito perfeito
persistia,persistir,indicativo,ele/ela,pretérito imperfeito
persistimos,persistir,indicativo,nós,presente
persistimos,persistir,indicativo,nós,pretérito perfeito
persistíamos,persistir,indicativo,nós,pretérito imperfeito
persistis,persistir,indicativo,vós,presente
persististes,persistir,indicativo,vós,pretérito perfeito
persistíeis,persistir,indicativo,vós,pretérito imperfeito
persistem,persistir,indicativo,eles/elas,presente
persistiram,persistir,indicativo,eles/elas,pretérito perfeito
persistiam,persistir,indicativo,eles/elas,pretérito imperfeito
persistira,persistir,indicativo,eu,pret. mais-que-perfeito
persistirei,persistir,indicativo,eu,futuro
persistiria,persistir,indicativo,eu,condicional
persistiras,persistir,indicativo,tu,pret. mais-que-perfeito
persistirás,persistir,indicativo,tu,futuro
persistirias,persistir,indicativo,tu,condicional
persistira,persistir,indicativo,ele/ela,pret. mais-que-perfeito
persistirá,persistir,indicativo,ele/ela,futuro
persistiria,persistir,indicativo,ele/ela,condicional
persistíramos,persistir,indicativo,nós,pret. mais-que-perfeito
persistiremos,persistir,indicativo,nós,futuro
persistiríamos,persistir,indicativo,nós,condicional
persistíreis,persistir,indicativo,vós,pret. mais-que-perfeito
persistireis,persistir,indicativo,vós,futuro
persistiríeis,persistir,indicativo,vós,condicional
persistiram,persistir,indicativo,eles/elas,pret. mais-que-perfeito
persistirão,persistir,indicativo,eles/elas,futuro
persistiriam,persistir,indicativo,eles/elas,condicional
interfiro,interferir,indicativo,eu,presente
interferi,interferir,indicativo,eu,pretérito perfeito
interferia,interferir,indicativo,eu,pretérito imperfeito
interferes,interferir,indicativo,tu,presente
interferiste,interferir,indicativo,tu,pretérito perfeito
interferias,interferir,indicativo,tu,pretérito imperfeito
interfere,interferir,indicativo,ele/ela,presente
interferiu,interferir,indicativo,ele/ela,pretérito perfeito
interferia,interferir,indicativo,ele/ela,pretérito imperfeito
interferimos,interferir,indicativo,nós,presente
interferimos,interferir,indicativo,nós,pretérito perfeito
interferíamos,interferir,indicativo,nós,pretérito imperfeito
interferis,interferir,indicativo,vós,presente
interferistes,interferir,indicativo,vós,pretérito perfeito
interferíeis,interferir,indicativo,vós,pretérito imperfeito
interferem,interferir,indicativo,eles/elas,presente
interferiram,interferir,indicativo,eles/elas,pretérito perfeito
interferiam,interferir,indicativo,eles/elas,pretérito imperfeito
interferira,interferir,indicativo,eu,pret. mais-que-perfeito
interferirei,interferir,indicativo,eu,futuro
interferiria,interferir,indicativo,eu,condicional
interferiras,interferir,indicativo,tu,pret. mais-que-perfeito
interferirás,interferir,indicativo,tu,futuro
interferirias,interferir,indicativo,tu,condicional
interferira,interferir,indicativo,ele/ela,pret. mais-que-perfeito
interferirá,interferir,indicativo,ele/ela,futuro
interferiria,interferir,indicativo,ele/ela,condicional
interferíramos,interferir,indicativo,nós,pret. mais-que-perfeito
interferiremos,interferir,indicativo,nós,futuro
interferiríamos,interferir,indicativo,nós,condicional
interferíreis,interferir,indicativo,vós,pret. mais-que-perfeito
interferireis,interferir,indicativo,vós,futuro
interferiríeis,interferir,indicativo,vós,condicional
interferiram,interferir,indicativo,eles/elas,pret. mais-que-perfeito
interferirão,interferir,indicativo,eles/elas,futuro
interfeririam,interferir,indicativo,eles/elas,condicional
noticio,noticiar,indicativo,eu,presente
noticiei,noticiar,indicativo,eu,pretérito perfeito
noticiava,noticiar,indicativo,eu,pretérito imperfeito
noticias,noticiar,indicativo,tu,presente
noticiaste,noticiar,indicativo,tu,pretérito perfeito
noticiavas,noticiar,indicativo,tu,pretérito imperfeito
noticia,noticiar,indicativo,ele/ela,presente
noticiou,noticiar,indicativo,ele/ela,pretérito perfeito
noticiava,noticiar,indicativo,ele/ela,pretérito imperfeito
noticiamos,noticiar,indicativo,nós,presente
noticiámos / noticiamos,noticiar,indicativo,nós,pretérito perfeito
noticiávamos,noticiar,indicativo,nós,pretérito imperfeito
noticiais,noticiar,indicativo,vós,presente
noticiastes,noticiar,indicativo,vós,pretérito perfeito
noticiáveis,noticiar,indicativo,vós,pretérito imperfeito
noticiam,noticiar,indicativo,eles/elas,presente
noticiaram,noticiar,indicativo,eles/elas,pretérito perfeito
noticiavam,noticiar,indicativo,eles/elas,pretérito imperfeito
noticiara,noticiar,indicativo,eu,pret. mais-que-perfeito
noticiarei,noticiar,indicativo,eu,futuro
noticiaria,noticiar,indicativo,eu,condicional
noticiaras,noticiar,indicativo,tu,pret. mais-que-perfeito
noticiarás,noticiar,indicativo,tu,futuro
noticiarias,noticiar,indicativo,tu,condicional
noticiara,noticiar,indicativo,ele/ela,pret. mais-que-perfeito
noticiará,noticiar,indicativo,ele/ela,futuro
noticiaria,noticiar,indicativo,ele/ela,condicional
noticiáramos,noticiar,indicativo,nós,pret. mais-que-perfeito
noticiaremos,noticiar,indicativo,nós,futuro
noticiaríamos,noticiar,indicativo,nós,condicional
noticiáreis,noticiar,indicativo,vós,pret. mais-que-perfeito
noticiareis,noticiar,indicativo,vós,futuro
noticiaríeis,noticiar,indicativo,vós,condicional
noticiaram,noticiar,indicativo,eles/elas,pret. mais-que-perfeito
noticiarão,noticiar,indicativo,eles/elas,futuro
noticiariam,noticiar,indicativo,eles/elas,condicional
acarreto,acarretar,indicativo,eu,presente
