conj,infinitive,mode,pess,time
cantando,cantar,gerundio,,
cantado,cantar,participio,,
canto,cantar,indicativo,eu,presente
cantei,cantar,indicativo,eu,pretérito perfeito
cantava,cantar,indicativo,eu,pretérito imperfeito
cantas,cantar,indicativo,tu,presente
cantaste,cantar,indicativo,tu,pretérito perfeito
cantavas,cantar,indicativo,tu,pretérito imperfeito
canta,cantar,indicativo,ele/ela,presente
cantou,cantar,indicativo,ele/ela,pretérito perfeito
cantava,cantar,indicativo,ele/ela,pretérito imperfeito
cantamos,cantar,indicativo,nós,presente
cantámos / cantamos,cantar,indicativo,nós,pretérito perfeito
cantávamos,cantar,indicativo,nós,pretérito imperfeito
cantais,cantar,indicativo,vós,presente
cantastes,cantar,indicativo,vós,pretérito perfeito
cantáveis,cantar,indicativo,vós,pretérito imperfeito
cantam,cantar,indicativo,eles/elas,presente
cantaram,cantar,indicativo,eles/elas,pretérito perfeito
cantavam,cantar,indicativo,eles/elas,pretérito imperfeito
cantara,cantar,indicativo,eu,pret. mais-que-perfeito
cantarei,cantar,indicativo,eu,futuro
cantaria,cantar,indicativo,eu,condicional
cantaras,cantar,indicativo,tu,pret. mais-que-perfeito
cantarás,cantar,indicativo,tu,futuro
cantarias,cantar,indicativo,tu,condicional
cantara,cantar,indicativo,ele/ela,pret. mais-que-perfeito
cantará,cantar,indicativo,ele/ela,futuro
cantaria,cantar,indicativo,ele/ela,condicional
cantáramos,cantar,indicativo,nós,pret. mais-que-perfeito
cantaremos,cantar,indicativo,nós,futuro
cantaríamos,cantar,indicativo,nós,condicional
cantáreis,cantar,indicativo,vós,pret. mais-que-perfeito
cantareis,cantar,indicativo,vós,futuro
cantaríeis,cantar,indicativo,vós,condicional
cantaram,cantar,indicativo,eles/elas,pret. mais-que-perfeito
cantarão,cantar,indicativo,eles/elas,futuro
cantariam,cantar,indicativo,eles/elas,condicional
cante,cantar,conjuntivo subjuntivo (br),eu,presente
cantasse,cantar,conjuntivo subjuntivo (br),eu,pretérito imperfeito
cantar,cantar,conjuntivo subjuntivo (br),eu,futuro
cantes,cantar,conjuntivo subjuntivo (br),tu,presente
cantasses,cantar,conjuntivo subjuntivo (br),tu,pretérito imperfeito
cantares,cantar,conjuntivo subjuntivo (br),tu,futuro
cante,cantar,conjuntivo subjuntivo (br),ele/ela,presente
cantasse,cantar,conjuntivo subjuntivo (br),ele/ela,pretérito imperfeito
cantar,cantar,conjuntivo subjuntivo (br),ele/ela,futuro
cantemos,cantar,conjuntivo subjuntivo (br),nós,presente
cantássemos,cantar,conjuntivo subjuntivo (br),nós,pretérito imperfeito
cantarmos,cantar,conjuntivo subjuntivo (br),nós,futuro
canteis,cantar,conjuntivo subjuntivo (br),vós,presente
cantásseis,cantar,conjuntivo subjuntivo (br),vós,pretérito imperfeito
cantardes,cantar,conjuntivo subjuntivo (br),vós,futuro
cantem,cantar,conjuntivo subjuntivo (br),eles/elas,presente
cantassem,cantar,conjuntivo subjuntivo (br),eles/elas,pretérito imperfeito
cantarem,cantar,conjuntivo subjuntivo (br),eles/elas,futuro
cantar,cantar,imperativo,eu,infinitivo pessoal
cantares,cantar,imperativo,tu,infinitivo pessoal
canta,cantar,imperativo,tu,afirmativo
cantes,cantar,imperativo,tu,negativo
cantar,cantar,imperativo,ele/ela,infinitivo pessoal
cante,cantar,imperativo,ele/ela,afirmativo
cante,cantar,imperativo,ele/ela,negativo
cantarmos,cantar,imperativo,nós,infinitivo pessoal
cantemos,cantar,imperativo,nós,afirmativo
cantemos,cantar,imperativo,nós,negativo
cantardes,cantar,imperativo,vós,infinitivo pessoal
cantai,cantar,imperativo,vós,afirmativo
canteis,cantar,imperativo,vós,negativo
cantarem,cantar,imperativo,eles/elas,infinitivo pessoal
cantem,cantar,imperativo,eles/elas,afirmativo
cantem,cantar,imperativo,eles/elas,negativo
afastando,afastar,gerundio,,
afastado,afastar,participio,,
afasto,afastar,indicativo,eu,presente
afastei,afastar,indicativo,eu,pretérito perfeito
afastava,afastar,indicativo,eu,pretérito imperfeito
afastas,afastar,indicativo,tu,presente
afastaste,afastar,indicativo,tu,pretérito perfeito
afastavas,afastar,indicativo,tu,pretérito imperfeito
afasta,afastar,indicativo,ele/ela,presente
afastou,afastar,indicativo,ele/ela,pretérito perfeito
afastava,afastar,indicativo,ele/ela,pretérito imperfeito
afastamos,afastar,indicativo,nós,presente
afastámos / afastamos,afastar,indicativo,nós,pretérito perfeito
afastávamos,afastar,indicativo,nós,pretérito imperfeito
afastais,afastar,indicativo,vós,presente
afastastes,afastar,indicativo,vós,pretérito perfeito
afastáveis,afastar,indicativo,vós,pretérito imperfeito
afastam,afastar,indicativo,eles/elas,presente
afastaram,afastar,indicativo,eles/elas,pretérito perfeito
afastavam,afastar,indicativo,eles/elas,pretérito imperfeito
afastara,afastar,indicativo,eu,pret. mais-que-perfeito
afastarei,afastar,indicativo,eu,futuro
afastaria,afastar,indicativo,eu,condicional
afastaras,afastar,indicativo,tu,pret. mais-que-perfeito
afastarás,afastar,indicativo,tu,futuro
afastarias,afastar,indicativo,tu,condicional
afastara,afastar,indicativo,ele/ela,pret. mais-que-perfeito
afastará,afastar,indicativo,ele/ela,futuro
afastaria,afastar,indicativo,ele/ela,condicional
afastáramos,afastar,indicativo,nós,pret. mais-que-perfeito
