conj,infinitive,mode,pess,time
chovendo,chover,gerundio,,
chovido,chover,participio,,
chovo,chover,indicativo,eu,presente
chovi,chover,indicativo,eu,pretérito perfeito
chovia,chover,indicativo,eu,pretérito imperfeito
choves,chover,indicativo,tu,presente
choveste,chover,indicativo,tu,pretérito perfeito
chovias,chover,indicativo,tu,pretérito imperfeito
chove,chover,indicativo,ele/ela,presente
choveu,chover,indicativo,ele/ela,pretérito perfeito
chovia,chover,indicativo,ele/ela,pretérito imperfeito
chovemos,chover,indicativo,nós,presente
chovemos,chover,indicativo,nós,pretérito perfeito
chovíamos,chover,indicativo,nós,pretérito imperfeito
choveis,chover,indicativo,vós,presente
chovestes,chover,indicativo,vós,pretérito perfeito
chovíeis,chover,indicativo,vós,pretérito imperfeito
chovem,chover,indicativo,eles/elas,presente
choveram,chover,indicativo,eles/elas,pretérito perfeito
choviam,chover,indicativo,eles/elas,pretérito imperfeito
chovera,chover,indicativo,eu,pret. mais-que-perfeito
choverei,chover,indicativo,eu,futuro
choveria,chover,indicativo,eu,condicional
choveras,chover,indicativo,tu,pret. mais-que-perfeito
choverás,chover,indicativo,tu,futuro
choverias,chover,indicativo,tu,condicional
chovera,chover,indicativo,ele/ela,pret. mais-que-perfeito
choverá,chover,indicativo,ele/ela,futuro
choveria,chover,indicativo,ele/ela,condicional
chovêramos,chover,indicativo,nós,pret. mais-que-perfeito
choveremos,chover,indicativo,nós,futuro
choveríamos,chover,indicativo,nós,condicional
chovêreis,chover,indicativo,vós,pret. mais-que-perfeito
chovereis,chover,indicativo,vós,futuro
choveríeis,chover,indicativo,vós,condicional
choveram,chover,indicativo,eles/elas,pret. mais-que-perfeito
choverão,chover,indicativo,eles/elas,futuro
choveriam,chover,indicativo,eles/elas,condicional
chova,chover,conjuntivo subjuntivo (br),eu,presente
chovesse,chover,conjuntivo subjuntivo (br),eu,pretérito imperfeito
chover,chover,conjuntivo subjuntivo (br),eu,futuro
