conj,infinitive,mode,pess,time
nomeando,nomear,gerundio,,
nomeado,nomear,participio,,
nomeio,nomear,indicativo,eu,presente
nomeei,nomear,indicativo,eu,pretérito perfeito
nomeava,nomear,indicativo,eu,pretérito imperfeito
nomeias,nomear,indicativo,tu,presente
nomeaste,nomear,indicativo,tu,pretérito perfeito
nomeavas,nomear,indicativo,tu,pretérito imperfeito
nomeia,nomear,indicativo,ele/ela,presente
nomeou,nomear,indicativo,ele/ela,pretérito perfeito
nomeava,nomear,indicativo,ele/ela,pretérito imperfeito
nomeamos,nomear,indicativo,nós,presente
nomeámos / nomeamos,nomear,indicativo,nós,pretérito perfeito
nomeávamos,nomear,indicativo,nós,pretérito imperfeito
nomeais,nomear,indicativo,vós,presente
nomeastes,nomear,indicativo,vós,pretérito perfeito
nomeáveis,nomear,indicativo,vós,pretérito imperfeito
nomeiam,nomear,indicativo,eles/elas,presente
nomearam,nomear,indicativo,eles/elas,pretérito perfeito
nomeavam,nomear,indicativo,eles/elas,pretérito imperfeito
nomeara,nomear,indicativo,eu,pret. mais-que-perfeito
nomearei,nomear,indicativo,eu,futuro
nomearia,nomear,indicativo,eu,condicional
nomearas,nomear,indicativo,tu,pret. mais-que-perfeito
nomearás,nomear,indicativo,tu,futuro
nomearias,nomear,indicativo,tu,condicional
nomeara,nomear,indicativo,ele/ela,pret. mais-que-perfeito
nomeará,nomear,indicativo,ele/ela,futuro
nomearia,nomear,indicativo,ele/ela,condicional
nomeáramos,nomear,indicativo,nós,pret. mais-que-perfeito
nomearemos,nomear,indicativo,nós,futuro
nomearíamos,nomear,indicativo,nós,condicional
nomeáreis,nomear,indicativo,vós,pret. mais-que-perfeito
nomeareis,nomear,indicativo,vós,futuro
nomearíeis,nomear,indicativo,vós,condicional
nomearam,nomear,indicativo,eles/elas,pret. mais-que-perfeito
nomearão,nomear,indicativo,eles/elas,futuro
nomeariam,nomear,indicativo,eles/elas,condicional
nomeie,nomear,conjuntivo subjuntivo (br),eu,presente
nomeasse,nomear,conjuntivo subjuntivo (br),eu,pretérito imperfeito
nomear,nomear,conjuntivo subjuntivo (br),eu,futuro
nomeies,nomear,conjuntivo subjuntivo (br),tu,presente
nomeasses,nomear,conjuntivo subjuntivo (br),tu,pretérito imperfeito
nomeares,nomear,conjuntivo subjuntivo (br),tu,futuro
nomeie,nomear,conjuntivo subjuntivo (br),ele/ela,presente
nomeasse,nomear,conjuntivo subjuntivo (br),ele/ela,pretérito imperfeito
nomear,nomear,conjuntivo subjuntivo (br),ele/ela,futuro
nomeemos,nomear,conjuntivo subjuntivo (br),nós,presente
nomeássemos,nomear,conjuntivo subjuntivo (br),nós,pretérito imperfeito
nomearmos,nomear,conjuntivo subjuntivo (br),nós,futuro
nomeeis,nomear,conjuntivo subjuntivo (br),vós,presente
nomeásseis,nomear,conjuntivo subjuntivo (br),vós,pretérito imperfeito
nomeardes,nomear,conjuntivo subjuntivo (br),vós,futuro
nomeiem,nomear,conjuntivo subjuntivo (br),eles/elas,presente
nomeassem,nomear,conjuntivo subjuntivo (br),eles/elas,pretérito imperfeito
nomearem,nomear,conjuntivo subjuntivo (br),eles/elas,futuro
nomear,nomear,imperativo,eu,infinitivo pessoal
nomeares,nomear,imperativo,tu,infinitivo pessoal
nomeia,nomear,imperativo,tu,afirmativo
nomeies,nomear,imperativo,tu,negativo
nomear,nomear,imperativo,ele/ela,infinitivo pessoal
nomeie,nomear,imperativo,ele/ela,afirmativo
nomeie,nomear,imperativo,ele/ela,negativo
nomearmos,nomear,imperativo,nós,infinitivo pessoal
nomeemos,nomear,imperativo,nós,afirmativo
nomeemos,nomear,imperativo,nós,negativo
nomeardes,nomear,imperativo,vós,infinitivo pessoal
nomeai,nomear,imperativo,vós,afirmativo
nomeeis,nomear,imperativo,vós,negativo
nomearem,nomear,imperativo,eles/elas,infinitivo pessoal
nomeiem,nomear,imperativo,eles/elas,afirmativo
nomeiem,nomear,imperativo,eles/elas,negativo
soando,soar,gerundio,,
soado,soar,participio,,
soo,soar,indicativo,eu,presente
soei,soar,indicativo,eu,pretérito perfeito
soava,soar,indicativo,eu,pretérito imperfeito
soas,soar,indicativo,tu,presente
soaste,soar,indicativo,tu,pretérito perfeito
soavas,soar,indicativo,tu,pretérito imperfeito
soa,soar,indicativo,ele/ela,presente
soou,soar,indicativo,ele/ela,pretérito perfeito
soava,soar,indicativo,ele/ela,pretérito imperfeito
soamos,soar,indicativo,nós,presente
soámos / soamos,soar,indicativo,nós,pretérito perfeito
soávamos,soar,indicativo,nós,pretérito imperfeito
soais,soar,indicativo,vós,presente
soastes,soar,indicativo,vós,pretérito perfeito
soáveis,soar,indicativo,vós,pretérito imperfeito
soam,soar,indicativo,eles/elas,presente
soaram,soar,indicativo,eles/elas,pretérito perfeito
soavam,soar,indicativo,eles/elas,pretérito imperfeito
soara,soar,indicativo,eu,pret. mais-que-perfeito
soarei,soar,indicativo,eu,futuro
soaria,soar,indicativo,eu,condicional
soaras,soar,indicativo,tu,pret. mais-que-perfeito
soarás,soar,indicativo,tu,futuro
soarias,soar,indicativo,tu,condicional
soara,soar,indicativo,ele/ela,pret. mais-que-perfeito
soará,soar,indicativo,ele/ela,futuro
soaria,soar,indicativo,ele/ela,condicional
soáramos,soar,indicativo,nós,pret. mais-que-perfeito
soaremos,soar,indicativo,nós,futuro
soaríamos,soar,indicativo,nós,condicional
soáreis,soar,indicativo,vós,pret. mais-que-perfeito
soareis,soar,indicativo,vós,futuro
soaríeis,soar,indicativo,vós,condicional
soaram,soar,indicativo,eles/elas,pret. mais-que-perfeito
soarão,soar,indicativo,eles/elas,futuro
soariam,soar,indicativo,eles/elas,condicional
soe,soar,conjuntivo subjuntivo (br),eu,presente
soasse,soar,conjuntivo subjuntivo (br),eu,pretérito imperfeito
soar,soar,conjuntivo subjuntivo (br),eu,futuro
soes,soar,conjuntivo subjuntivo (br),tu,presente
soasses,soar,conjuntivo subjuntivo (br),tu,pretérito imperfeito
soares,soar,conjuntivo subjuntivo (br),tu,futuro
soe,soar,conjuntivo subjuntivo (br),ele/ela,presente
soasse,soar,conjuntivo subjuntivo (br),ele/ela,pretérito imperfeito
soar,soar,conjuntivo subjuntivo (br),ele/ela,futuro
soemos,soar,conjuntivo subjuntivo (br),nós,presente
soássemos,soar,conjuntivo subjuntivo (br),nós,pretérito imperfeito
soarmos,soar,conjuntivo subjuntivo (br),nós,futuro
soeis,soar,conjuntivo subjuntivo (br),vós,presente
soásseis,soar,conjuntivo subjuntivo (br),vós,pretérito imperfeito
soardes,soar,conjuntivo subjuntivo (br),vós,futuro
