conj,infinitive,mode,pess,time
creio,crer,indicativo,eu,presente
cri,crer,indicativo,eu,pretérito perfeito
cria,crer,indicativo,eu,pretérito imperfeito
crês,crer,indicativo,tu,presente
creste,crer,indicativo,tu,pretérito perfeito
crias,crer,indicativo,tu,pretérito imperfeito
crê,crer,indicativo,ele/ela,presente
creu,crer,indicativo,ele/ela,pretérito perfeito
cria,crer,indicativo,ele/ela,pretérito imperfeito
cremos,crer,indicativo,nós,presente
cremos,crer,indicativo,nós,pretérito perfeito
críamos,crer,indicativo,nós,pretérito imperfeito
credes,crer,indicativo,vós,presente
crestes,crer,indicativo,vós,pretérito perfeito
críeis,crer,indicativo,vós,pretérito imperfeito
creem,crer,indicativo,eles/elas,presente
creram,crer,indicativo,eles/elas,pretérito perfeito
criam,crer,indicativo,eles/elas,pretérito imperfeito
crera,crer,indicativo,eu,pret. mais-que-perfeito
crerei,crer,indicativo,eu,futuro
creria,crer,indicativo,eu,condicional
creras,crer,indicativo,tu,pret. mais-que-perfeito
crerás,crer,indicativo,tu,futuro
crerias,crer,indicativo,tu,condicional
crera,crer,indicativo,ele/ela,pret. mais-que-perfeito
crerá,crer,indicativo,ele/ela,futuro
creria,crer,indicativo,ele/ela,condicional
crêramos,crer,indicativo,nós,pret. mais-que-perfeito
creremos,crer,indicativo,nós,futuro
creríamos,crer,indicativo,nós,condicional
crêreis,crer,indicativo,vós,pret. mais-que-perfeito
crereis,crer,indicativo,vós,futuro
creríeis,crer,indicativo,vós,condicional
creram,crer,indicativo,eles/elas,pret. mais-que-perfeito
crerão,crer,indicativo,eles/elas,futuro
creriam,crer,indicativo,eles/elas,condicional
caminho,caminhar,indicativo,eu,presente
caminhei,caminhar,indicativo,eu,pretérito perfeito
caminhava,caminhar,indicativo,eu,pretérito imperfeito
caminhas,caminhar,indicativo,tu,presente
caminhaste,caminhar,indicativo,tu,pretérito perfeito
caminhavas,caminhar,indicativo,tu,pretérito imperfeito
caminha,caminhar,indicativo,ele/ela,presente
caminhou,caminhar,indicativo,ele/ela,pretérito perfeito
caminhava,caminhar,indicativo,ele/ela,pretérito imperfeito
caminhamos,caminhar,indicativo,nós,presente
caminhámos / caminhamos,caminhar,indicativo,nós,pretérito perfeito
caminhávamos,caminhar,indicativo,nós,pretérito imperfeito
caminhais,caminhar,indicativo,vós,presente
caminhastes,caminhar,indicativo,vós,pretérito perfeito
caminháveis,caminhar,indicativo,vós,pretérito imperfeito
caminham,caminhar,indicativo,eles/elas,presente
caminharam,caminhar,indicativo,eles/elas,pretérito perfeito
caminhavam,caminhar,indicativo,eles/elas,pretérito imperfeito
caminhara,caminhar,indicativo,eu,pret. mais-que-perfeito
caminharei,caminhar,indicativo,eu,futuro
caminharia,caminhar,indicativo,eu,condicional
caminharas,caminhar,indicativo,tu,pret. mais-que-perfeito
caminharás,caminhar,indicativo,tu,futuro
caminharias,caminhar,indicativo,tu,condicional
caminhara,caminhar,indicativo,ele/ela,pret. mais-que-perfeito
caminhará,caminhar,indicativo,ele/ela,futuro
caminharia,caminhar,indicativo,ele/ela,condicional
caminháramos,caminhar,indicativo,nós,pret. mais-que-perfeito
caminharemos,caminhar,indicativo,nós,futuro
caminharíamos,caminhar,indicativo,nós,condicional
caminháreis,caminhar,indicativo,vós,pret. mais-que-perfeito
caminhareis,caminhar,indicativo,vós,futuro
caminharíeis,caminhar,indicativo,vós,condicional
caminharam,caminhar,indicativo,eles/elas,pret. mais-que-perfeito
caminharão,caminhar,indicativo,eles/elas,futuro
caminhariam,caminhar,indicativo,eles/elas,condicional
concedo,conceder,indicativo,eu,presente
concedi,conceder,indicativo,eu,pretérito perfeito
concedia,conceder,indicativo,eu,pretérito imperfeito
concedes,conceder,indicativo,tu,presente
concedeste,conceder,indicativo,tu,pretérito perfeito
concedias,conceder,indicativo,tu,pretérito imperfeito
concede,conceder,indicativo,ele/ela,presente
concedeu,conceder,indicativo,ele/ela,pretérito perfeito
concedia,conceder,indicativo,ele/ela,pretérito imperfeito
concedemos,conceder,indicativo,nós,presente
concedemos,conceder,indicativo,nós,pretérito perfeito
concedíamos,conceder,indicativo,nós,pretérito imperfeito
concedeis,conceder,indicativo,vós,presente
concedestes,conceder,indicativo,vós,pretérito perfeito
concedíeis,conceder,indicativo,vós,pretérito imperfeito
concedem,conceder,indicativo,eles/elas,presente
concederam,conceder,indicativo,eles/elas,pretérito perfeito
concediam,conceder,indicativo,eles/elas,pretérito imperfeito
concedera,conceder,indicativo,eu,pret. mais-que-perfeito
concederei,conceder,indicativo,eu,futuro
concederia,conceder,indicativo,eu,condicional
concederas,conceder,indicativo,tu,pret. mais-que-perfeito
concederás,conceder,indicativo,tu,futuro
concederias,conceder,indicativo,tu,condicional
concedera,conceder,indicativo,ele/ela,pret. mais-que-perfeito
concederá,conceder,indicativo,ele/ela,futuro
concederia,conceder,indicativo,ele/ela,condicional
concedêramos,conceder,indicativo,nós,pret. mais-que-perfeito
concederemos,conceder,indicativo,nós,futuro
concederíamos,conceder,indicativo,nós,condicional
concedêreis,conceder,indicativo,vós,pret. mais-que-perfeito
concedereis,conceder,indicativo,vós,futuro
concederíeis,conceder,indicativo,vós,condicional
concederam,conceder,indicativo,eles/elas,pret. mais-que-perfeito
concederão,conceder,indicativo,eles/elas,futuro
concederiam,conceder,indicativo,eles/elas,condicional
sucedo,suceder,indicativo,eu,presente
sucedi,suceder,indicativo,eu,pretérito perfeito
sucedia,suceder,indicativo,eu,pretérito imperfeito
sucedes,suceder,indicativo,tu,presente
sucedeste,suceder,indicativo,tu,pretérito perfeito
sucedias,suceder,indicativo,tu,pretérito imperfeito
sucede,suceder,indicativo,ele/ela,presente
sucedeu,suceder,indicativo,ele/ela,pretérito perfeito
sucedia,suceder,indicativo,ele/ela,pretérito imperfeito
sucedemos,suceder,indicativo,nós,presente
sucedemos,suceder,indicativo,nós,pretérito perfeito
sucedíamos,suceder,indicativo,nós,pretérito imperfeito
sucedeis,suceder,indicativo,vós,presente
sucedestes,suceder,indicativo,vós,pretérito perfeito
sucedíeis,suceder,indicativo,vós,pretérito imperfeito
sucedem,suceder,indicativo,eles/elas,presente
sucederam,suceder,indicativo,eles/elas,pretérito perfeito
sucediam,suceder,indicativo,eles/elas,pretérito imperfeito
sucedera,suceder,indicativo,eu,pret. mais-que-perfeito
sucederei,suceder,indicativo,eu,futuro
sucederia,suceder,indicativo,eu,condicional
sucederas,suceder,indicativo,tu,pret. mais-que-perfeito
sucederás,suceder,indicativo,tu,futuro
sucederias,suceder,indicativo,tu,condicional
sucedera,suceder,indicativo,ele/ela,pret. mais-que-perfeito
sucederá,suceder,indicativo,ele/ela,futuro
sucederia,suceder,indicativo,ele/ela,condicional
sucedêramos,suceder,indicativo,nós,pret. mais-que-perfeito
sucederemos,suceder,indicativo,nós,futuro
sucederíamos,suceder,indicativo,nós,condicional
sucedêreis,suceder,indicativo,vós,pret. mais-que-perfeito
sucedereis,suceder,indicativo,vós,futuro
sucederíeis,suceder,indicativo,vós,condicional
sucederam,suceder,indicativo,eles/elas,pret. mais-que-perfeito
sucederão,suceder,indicativo,eles/elas,futuro
sucederiam,suceder,indicativo,eles/elas,condicional
separo,separar,indicativo,eu,presente
separei,separar,indicativo,eu,pretérito perfeito
separava,separar,indicativo,eu,pretérito imperfeito
separas,separar,indicativo,tu,presente
separaste,separar,indicativo,tu,pretérito perfeito
separavas,separar,indicativo,tu,pretérito imperfeito
separa,separar,indicativo,ele/ela,presente
separou,separar,indicativo,ele/ela,pretérito perfeito
separava,separar,indicativo,ele/ela,pretérito imperfeito
separamos,separar,indicativo,nós,presente
separámos / separamos,separar,indicativo,nós,pretérito perfeito
separávamos,separar,indicativo,nós,pretérito imperfeito
separais,separar,indicativo,vós,presente
separastes,separar,indicativo,vós,pretérito perfeito
separáveis,separar,indicativo,vós,pretérito imperfeito
separam,separar,indicativo,eles/elas,presente
separaram,separar,indicativo,eles/elas,pretérito perfeito
separavam,separar,indicativo,eles/elas,pretérito imperfeito
separara,separar,indicativo,eu,pret. mais-que-perfeito
separarei,separar,indicativo,eu,futuro
separaria,separar,indicativo,eu,condicional
separaras,separar,indicativo,tu,pret. mais-que-perfeito
separarás,separar,indicativo,tu,futuro
separarias,separar,indicativo,tu,condicional
separara,separar,indicativo,ele/ela,pret. mais-que-perfeito
separará,separar,indicativo,ele/ela,futuro
separaria,separar,indicativo,ele/ela,condicional
separáramos,separar,indicativo,nós,pret. mais-que-perfeito
separaremos,separar,indicativo,nós,futuro
separaríamos,separar,indicativo,nós,condicional
separáreis,separar,indicativo,vós,pret. mais-que-perfeito
separareis,separar,indicativo,vós,futuro
separaríeis,separar,indicativo,vós,condicional
separaram,separar,indicativo,eles/elas,pret. mais-que-perfeito
separarão,separar,indicativo,eles/elas,futuro
separariam,separar,indicativo,eles/elas,condicional
voto,votar,indicativo,eu,presente
votei,votar,indicativo,eu,pretérito perfeito
votava,votar,indicativo,eu,pretérito imperfeito
votas,votar,indicativo,tu,presente
votaste,votar,indicativo,tu,pretérito perfeito
votavas,votar,indicativo,tu,pretérito imperfeito
vota,votar,indicativo,ele/ela,presente
votou,votar,indicativo,ele/ela,pretérito perfeito
votava,votar,indicativo,ele/ela,pretérito imperfeito
votamos,votar,indicativo,nós,presente
votámos / votamos,votar,indicativo,nós,pretérito perfeito
votávamos,votar,indicativo,nós,pretérito imperfeito
votais,votar,indicativo,vós,presente
votastes,votar,indicativo,vós,pretérito perfeito
votáveis,votar,indicativo,vós,pretérito imperfeito
votam,votar,indicativo,eles/elas,presente
votaram,votar,indicativo,eles/elas,pretérito perfeito
votavam,votar,indicativo,eles/elas,pretérito imperfeito
votara,votar,indicativo,eu,pret. mais-que-perfeito
votarei,votar,indicativo,eu,futuro
votaria,votar,indicativo,eu,condicional
votaras,votar,indicativo,tu,pret. mais-que-perfeito
votarás,votar,indicativo,tu,futuro
votarias,votar,indicativo,tu,condicional
votara,votar,indicativo,ele/ela,pret. mais-que-perfeito
votará,votar,indicativo,ele/ela,futuro
votaria,votar,indicativo,ele/ela,condicional
votáramos,votar,indicativo,nós,pret. mais-que-perfeito
votaremos,votar,indicativo,nós,futuro
votaríamos,votar,indicativo,nós,condicional
votáreis,votar,indicativo,vós,pret. mais-que-perfeito
votareis,votar,indicativo,vós,futuro
votaríeis,votar,indicativo,vós,condicional
votaram,votar,indicativo,eles/elas,pret. mais-que-perfeito
votarão,votar,indicativo,eles/elas,futuro
votariam,votar,indicativo,eles/elas,condicional
uno,unir,indicativo,eu,presente
uni,unir,indicativo,eu,pretérito perfeito
unia,unir,indicativo,eu,pretérito imperfeito
unes,unir,indicativo,tu,presente
uniste,unir,indicativo,tu,pretérito perfeito
unias,unir,indicativo,tu,pretérito imperfeito
une,unir,indicativo,ele/ela,presente
uniu,unir,indicativo,ele/ela,pretérito perfeito
unia,unir,indicativo,ele/ela,pretérito imperfeito
unimos,unir,indicativo,nós,presente
unimos,unir,indicativo,nós,pretérito perfeito
uníamos,unir,indicativo,nós,pretérito imperfeito
unis,unir,indicativo,vós,presente
unistes,unir,indicativo,vós,pretérito perfeito
uníeis,unir,indicativo,vós,pretérito imperfeito
unem,unir,indicativo,eles/elas,presente
uniram,unir,indicativo,eles/elas,pretérito perfeito
uniam,unir,indicativo,eles/elas,pretérito imperfeito
unira,unir,indicativo,eu,pret. mais-que-perfeito
unirei,unir,indicativo,eu,futuro
uniria,unir,indicativo,eu,condicional
uniras,unir,indicativo,tu,pret. mais-que-perfeito
unirás,unir,indicativo,tu,futuro
unirias,unir,indicativo,tu,condicional
unira,unir,indicativo,ele/ela,pret. mais-que-perfeito
unirá,unir,indicativo,ele/ela,futuro
uniria,unir,indicativo,ele/ela,condicional
uníramos,unir,indicativo,nós,pret. mais-que-perfeito
uniremos,unir,indicativo,nós,futuro
uniríamos,unir,indicativo,nós,condicional
uníreis,unir,indicativo,vós,pret. mais-que-perfeito
unireis,unir,indicativo,vós,futuro
uniríeis,unir,indicativo,vós,condicional
uniram,unir,indicativo,eles/elas,pret. mais-que-perfeito
unirão,unir,indicativo,eles/elas,futuro
uniriam,unir,indicativo,eles/elas,condicional
nego,negar,indicativo,eu,presente
neguei,negar,indicativo,eu,pretérito perfeito
negava,negar,indicativo,eu,pretérito imperfeito
negas,negar,indicativo,tu,presente
negaste,negar,indicativo,tu,pretérito perfeito
negavas,negar,indicativo,tu,pretérito imperfeito
nega,negar,indicativo,ele/ela,presente
negou,negar,indicativo,ele/ela,pretérito perfeito
negava,negar,indicativo,ele/ela,pretérito imperfeito
negamos,negar,indicativo,nós,presente
negámos / negamos,negar,indicativo,nós,pretérito perfeito
negávamos,negar,indicativo,nós,pretérito imperfeito
negais,negar,indicativo,vós,presente
negastes,negar,indicativo,vós,pretérito perfeito
negáveis,negar,indicativo,vós,pretérito imperfeito
negam,negar,indicativo,eles/elas,presente
negaram,negar,indicativo,eles/elas,pretérito perfeito
negavam,negar,indicativo,eles/elas,pretérito imperfeito
negara,negar,indicativo,eu,pret. mais-que-perfeito
negarei,negar,indicativo,eu,futuro
negaria,negar,indicativo,eu,condicional
negaras,negar,indicativo,tu,pret. mais-que-perfeito
negarás,negar,indicativo,tu,futuro
negarias,negar,indicativo,tu,condicional
negara,negar,indicativo,ele/ela,pret. mais-que-perfeito
negará,negar,indicativo,ele/ela,futuro
negaria,negar,indicativo,ele/ela,condicional
negáramos,negar,indicativo,nós,pret. mais-que-perfeito
negaremos,negar,indicativo,nós,futuro
negaríamos,negar,indicativo,nós,condicional
negáreis,negar,indicativo,vós,pret. mais-que-perfeito
negareis,negar,indicativo,vós,futuro
negaríeis,negar,indicativo,vós,condicional
negaram,negar,indicativo,eles/elas,pret. mais-que-perfeito
negarão,negar,indicativo,eles/elas,futuro
negariam,negar,indicativo,eles/elas,condicional
avalio,avaliar,indicativo,eu,presente
avaliei,avaliar,indicativo,eu,pretérito perfeito
avaliava,avaliar,indicativo,eu,pretérito imperfeito
avalias,avaliar,indicativo,tu,presente
avaliaste,avaliar,indicativo,tu,pretérito perfeito
avaliavas,avaliar,indicativo,tu,pretérito imperfeito
avalia,avaliar,indicativo,ele/ela,presente
avaliou,avaliar,indicativo,ele/ela,pretérito perfeito
avaliava,avaliar,indicativo,ele/ela,pretérito imperfeito
avaliamos,avaliar,indicativo,nós,presente
avaliámos / avaliamos,avaliar,indicativo,nós,pretérito perfeito
avaliávamos,avaliar,indicativo,nós,pretérito imperfeito
avaliais,avaliar,indicativo,vós,presente
avaliastes,avaliar,indicativo,vós,pretérito perfeito
avaliáveis,avaliar,indicativo,vós,pretérito imperfeito
avaliam,avaliar,indicativo,eles/elas,presente
avaliaram,avaliar,indicativo,eles/elas,pretérito perfeito
avaliavam,avaliar,indicativo,eles/elas,pretérito imperfeito
