conj,infinitive,mode,pess,time
pudestes,poder,indicativo,vós,pretérito perfeito
podíeis,poder,indicativo,vós,pretérito imperfeito
podem,poder,indicativo,eles/elas,presente
puderam,poder,indicativo,eles/elas,pretérito perfeito
podiam,poder,indicativo,eles/elas,pretérito imperfeito
pudera,poder,indicativo,eu,pret. mais-que-perfeito
poderei,poder,indicativo,eu,futuro
poderia,poder,indicativo,eu,condicional
puderas,poder,indicativo,tu,pret. mais-que-perfeito
poderás,poder,indicativo,tu,futuro
poderias,poder,indicativo,tu,condicional
pudera,poder,indicativo,ele/ela,pret. mais-que-perfeito
poderá,poder,indicativo,ele/ela,futuro
poderia,poder,indicativo,ele/ela,condicional
pudéramos,poder,indicativo,nós,pret. mais-que-perfeito
poderemos,poder,indicativo,nós,futuro
poderíamos,poder,indicativo,nós,condicional
pudéreis,poder,indicativo,vós,pret. mais-que-perfeito
podereis,poder,indicativo,vós,futuro
poderíeis,poder,indicativo,vós,condicional
puderam,poder,indicativo,eles/elas,pret. mais-que-perfeito
poderão,poder,indicativo,eles/elas,futuro
poderiam,poder,indicativo,eles/elas,condicional
faço,fazer,indicativo,eu,presente
fiz,fazer,indicativo,eu,pretérito perfeito
fazia,fazer,indicativo,eu,pretérito imperfeito
fazes,fazer,indicativo,tu,presente
fizeste,fazer,indicativo,tu,pretérito perfeito
fazias,fazer,indicativo,tu,pretérito imperfeito
faz,fazer,indicativo,ele/ela,presente
fez,fazer,indicativo,ele/ela,pretérito perfeito
fazia,fazer,indicativo,ele/ela,pretérito imperfeito
fazemos,fazer,indicativo,nós,presente
fizemos,fazer,indicativo,nós,pretérito perfeito
fazíamos,fazer,indicativo,nós,pretérito imperfeito
fazeis,fazer,indicativo,vós,presente
fizestes,fazer,indicativo,vós,pretérito perfeito
fazíeis,fazer,indicativo,vós,pretérito imperfeito
fazem,fazer,indicativo,eles/elas,presente
fizeram,fazer,indicativo,eles/elas,pretérito perfeito
faziam,fazer,indicativo,eles/elas,pretérito imperfeito
fizera,fazer,indicativo,eu,pret. mais-que-perfeito
farei,fazer,indicativo,eu,futuro
faria,fazer,indicativo,eu,condicional
fizeras,fazer,indicativo,tu,pret. mais-que-perfeito
farás,fazer,indicativo,tu,futuro
farias,fazer,indicativo,tu,condicional
fizera,fazer,indicativo,ele/ela,pret. mais-que-perfeito
fará,fazer,indicativo,ele/ela,futuro
faria,fazer,indicativo,ele/ela,condicional
fizéramos,fazer,indicativo,nós,pret. mais-que-perfeito
faremos,fazer,indicativo,nós,futuro
faríamos,fazer,indicativo,nós,condicional
fizéreis,fazer,indicativo,vós,pret. mais-que-perfeito
fareis,fazer,indicativo,vós,futuro
faríeis,fazer,indicativo,vós,condicional
fizeram,fazer,indicativo,eles/elas,pret. mais-que-perfeito
farão,fazer,indicativo,eles/elas,futuro
fariam,fazer,indicativo,eles/elas,condicional
vou,ir,indicativo,eu,presente
fui,ir,indicativo,eu,pretérito perfeito
ia,ir,indicativo,eu,pretérito imperfeito
vais,ir,indicativo,tu,presente
foste,ir,indicativo,tu,pretérito perfeito
ias,ir,indicativo,tu,pretérito imperfeito
vai,ir,indicativo,ele/ela,presente
foi,ir,indicativo,ele/ela,pretérito perfeito
ia,ir,indicativo,ele/ela,pretérito imperfeito
vamos,ir,indicativo,nós,presente
fomos,ir,indicativo,nós,pretérito perfeito
íamos,ir,indicativo,nós,pretérito imperfeito
ides,ir,indicativo,vós,presente
fostes,ir,indicativo,vós,pretérito perfeito
íeis,ir,indicativo,vós,pretérito imperfeito
vão,ir,indicativo,eles/elas,presente
foram,ir,indicativo,eles/elas,pretérito perfeito
iam,ir,indicativo,eles/elas,pretérito imperfeito
fora,ir,indicativo,eu,pret. mais-que-perfeito
irei,ir,indicativo,eu,futuro
iria,ir,indicativo,eu,condicional
foras,ir,indicativo,tu,pret. mais-que-perfeito
irás,ir,indicativo,tu,futuro
irias,ir,indicativo,tu,condicional
fora,ir,indicativo,ele/ela,pret. mais-que-perfeito
irá,ir,indicativo,ele/ela,futuro
iria,ir,indicativo,ele/ela,condicional
fôramos,ir,indicativo,nós,pret. mais-que-perfeito
iremos,ir,indicativo,nós,futuro
iríamos,ir,indicativo,nós,condicional
fôreis,ir,indicativo,vós,pret. mais-que-perfeito
ireis,ir,indicativo,vós,futuro
iríeis,ir,indicativo,vós,condicional
foram,ir,indicativo,eles/elas,pret. mais-que-perfeito
irão,ir,indicativo,eles/elas,futuro
iriam,ir,indicativo,eles/elas,condicional
hei,haver,indicativo,eu,presente
houve,haver,indicativo,eu,pretérito perfeito
havia,haver,indicativo,eu,pretérito imperfeito
hás,haver,indicativo,tu,presente
houveste,haver,indicativo,tu,pretérito perfeito
havias,haver,indicativo,tu,pretérito imperfeito
há,haver,indicativo,ele/ela,presente
houve,haver,indicativo,ele/ela,pretérito perfeito
havia,haver,indicativo,ele/ela,pretérito imperfeito
hemos,haver,indicativo,nós,presente
houvemos,haver,indicativo,nós,pretérito perfeito
havíamos,haver,indicativo,nós,pretérito imperfeito
haveis,haver,indicativo,vós,presente
houvestes,haver,indicativo,vós,pretérito perfeito
havíeis,haver,indicativo,vós,pretérito imperfeito
hão,haver,indicativo,eles/elas,presente
houveram,haver,indicativo,eles/elas,pretérito perfeito
haviam,haver,indicativo,eles/elas,pretérito imperfeito
houvera,haver,indicativo,eu,pret. mais-que-perfeito
haverei,haver,indicativo,eu,futuro
haveria,haver,indicativo,eu,condicional
houveras,haver,indicativo,tu,pret. mais-que-perfeito
haverás,haver,indicativo,tu,futuro
haverias,haver,indicativo,tu,condicional
houvera,haver,indicativo,ele/ela,pret. mais-que-perfeito
haverá,haver,indicativo,ele/ela,futuro
haveria,haver,indicativo,ele/ela,condicional
houvéramos,haver,indicativo,nós,pret. mais-que-perfeito
haveremos,haver,indicativo,nós,futuro
haveríamos,haver,indicativo,nós,condicional
houvéreis,haver,indicativo,vós,pret. mais-que-perfeito
havereis,haver,indicativo,vós,futuro
haveríeis,haver,indicativo,vós,condicional
houveram,haver,indicativo,eles/elas,pret. mais-que-perfeito
haverão,haver,indicativo,eles/elas,futuro
haveriam,haver,indicativo,eles/elas,condicional
digo,dizer,indicativo,eu,presente
disse,dizer,indicativo,eu,pretérito perfeito
dizia,dizer,indicativo,eu,pretérito imperfeito
dizes,dizer,indicativo,tu,presente
disseste,dizer,indicativo,tu,pretérito perfeito
dizias,dizer,indicativo,tu,pretérito imperfeito
diz,dizer,indicativo,ele/ela,presente
disse,dizer,indicativo,ele/ela,pretérito perfeito
dizia,dizer,indicativo,ele/ela,pretérito imperfeito
dizemos,dizer,indicativo,nós,presente
dissemos,dizer,indicativo,nós,pretérito perfeito
dizíamos,dizer,indicativo,nós,pretérito imperfeito
dizeis,dizer,indicativo,vós,presente
dissestes,dizer,indicativo,vós,pretérito perfeito
dizíeis,dizer,indicativo,vós,pretérito imperfeito
dizem,dizer,indicativo,eles/elas,presente
disseram,dizer,indicativo,eles/elas,pretérito perfeito
diziam,dizer,indicativo,eles/elas,pretérito imperfeito
dissera,dizer,indicativo,eu,pret. mais-que-perfeito
direi,dizer,indicativo,eu,futuro
diria,dizer,indicativo,eu,condicional
disseras,dizer,indicativo,tu,pret. mais-que-perfeito
dirás,dizer,indicativo,tu,futuro
dirias,dizer,indicativo,tu,condicional
dissera,dizer,indicativo,ele/ela,pret. mais-que-perfeito
dirá,dizer,indicativo,ele/ela,futuro
diria,dizer,indicativo,ele/ela,condicional
disséramos,dizer,indicativo,nós,pret. mais-que-perfeito
diremos,dizer,indicativo,nós,futuro
diríamos,dizer,indicativo,nós,condicional
disséreis,dizer,indicativo,vós,pret. mais-que-perfeito
direis,dizer,indicativo,vós,futuro
diríeis,dizer,indicativo,vós,condicional
disseram,dizer,indicativo,eles/elas,pret. mais-que-perfeito
dirão,dizer,indicativo,eles/elas,futuro
diriam,dizer,indicativo,eles/elas,condicional
dou,dar,indicativo,eu,presente
dei,dar,indicativo,eu,pretérito perfeito
dava,dar,indicativo,eu,pretérito imperfeito
dás,dar,indicativo,tu,presente
deste,dar,indicativo,tu,pretérito perfeito
davas,dar,indicativo,tu,pretérito imperfeito
dá,dar,indicativo,ele/ela,presente
deu,dar,indicativo,ele/ela,pretérito perfeito
dava,dar,indicativo,ele/ela,pretérito imperfeito
damos,dar,indicativo,nós,presente
demos,dar,indicativo,nós,pretérito perfeito
dávamos,dar,indicativo,nós,pretérito imperfeito
dais,dar,indicativo,vós,presente
destes,dar,indicativo,vós,pretérito perfeito
dáveis,dar,indicativo,vós,pretérito imperfeito
dão,dar,indicativo,eles/elas,presente
deram,dar,indicativo,eles/elas,pretérito perfeito
davam,dar,indicativo,eles/elas,pretérito imperfeito
dera,dar,indicativo,eu,pret. mais-que-perfeito
darei,dar,indicativo,eu,futuro
daria,dar,indicativo,eu,condicional
deras,dar,indicativo,tu,pret. mais-que-perfeito
darás,dar,indicativo,tu,futuro
darias,dar,indicativo,tu,condicional
dera,dar,indicativo,ele/ela,pret. mais-que-perfeito
dará,dar,indicativo,ele/ela,futuro
daria,dar,indicativo,ele/ela,condicional
déramos,dar,indicativo,nós,pret. mais-que-perfeito
daremos,dar,indicativo,nós,futuro
daríamos,dar,indicativo,nós,condicional
déreis,dar,indicativo,vós,pret. mais-que-perfeito
dareis,dar,indicativo,vós,futuro
daríeis,dar,indicativo,vós,condicional
deram,dar,indicativo,eles/elas,pret. mais-que-perfeito
darão,dar,indicativo,eles/elas,futuro
dariam,dar,indicativo,eles/elas,condicional
vejo,ver,indicativo,eu,presente
vi,ver,indicativo,eu,pretérito perfeito
via,ver,indicativo,eu,pretérito imperfeito
vês,ver,indicativo,tu,presente
viste,ver,indicativo,tu,pretérito perfeito
vias,ver,indicativo,tu,pretérito imperfeito
vê,ver,indicativo,ele/ela,presente
viu,ver,indicativo,ele/ela,pretérito perfeito
via,ver,indicativo,ele/ela,pretérito imperfeito
vemos,ver,indicativo,nós,presente
vimos,ver,indicativo,nós,pretérito perfeito
víamos,ver,indicativo,nós,pretérito imperfeito
vedes,ver,indicativo,vós,presente
vistes,ver,indicativo,vós,pretérito perfeito
víeis,ver,indicativo,vós,pretérito imperfeito
veem,ver,indicativo,eles/elas,presente
viram,ver,indicativo,eles/elas,pretérito perfeito
