conj,infinitive,mode,pess,time
aconselho,aconselhar,indicativo,eu,presente
aconselhei,aconselhar,indicativo,eu,pretérito perfeito
aconselhava,aconselhar,indicativo,eu,pretérito imperfeito
aconselhas,aconselhar,indicativo,tu,presente
aconselhaste,aconselhar,indicativo,tu,pretérito perfeito
aconselhavas,aconselhar,indicativo,tu,pretérito imperfeito
aconselha,aconselhar,indicativo,ele/ela,presente
aconselhou,aconselhar,indicativo,ele/ela,pretérito perfeito
aconselhava,aconselhar,indicativo,ele/ela,pretérito imperfeito
aconselhamos,aconselhar,indicativo,nós,presente
aconselhámos / aconselhamos,aconselhar,indicativo,nós,pretérito perfeito
aconselhávamos,aconselhar,indicativo,nós,pretérito imperfeito
aconselhais,aconselhar,indicativo,vós,presente
aconselhastes,aconselhar,indicativo,vós,pretérito perfeito
aconselháveis,aconselhar,indicativo,vós,pretérito imperfeito
aconselham,aconselhar,indicativo,eles/elas,presente
aconselharam,aconselhar,indicativo,eles/elas,pretérito perfeito
aconselhavam,aconselhar,indicativo,eles/elas,pretérito imperfeito
aconselhara,aconselhar,indicativo,eu,pret. mais-que-perfeito
aconselharei,aconselhar,indicativo,eu,futuro
aconselharia,aconselhar,indicativo,eu,condicional
aconselharas,aconselhar,indicativo,tu,pret. mais-que-perfeito
aconselharás,aconselhar,indicativo,tu,futuro
aconselharias,aconselhar,indicativo,tu,condicional
aconselhara,aconselhar,indicativo,ele/ela,pret. mais-que-perfeito
aconselhará,aconselhar,indicativo,ele/ela,futuro
aconselharia,aconselhar,indicativo,ele/ela,condicional
aconselháramos,aconselhar,indicativo,nós,pret. mais-que-perfeito
aconselharemos,aconselhar,indicativo,nós,futuro
aconselharíamos,aconselhar,indicativo,nós,condicional
aconselháreis,aconselhar,indicativo,vós,pret. mais-que-perfeito
aconselhareis,aconselhar,indicativo,vós,futuro
aconselharíeis,aconselhar,indicativo,vós,condicional
aconselharam,aconselhar,indicativo,eles/elas,pret. mais-que-perfeito
aconselharão,aconselhar,indicativo,eles/elas,futuro
aconselhariam,aconselhar,indicativo,eles/elas,condicional
nomeio,nomear,indicativo,eu,presente
nomeei,nomear,indicativo,eu,pretérito perfeito
nomeava,nomear,indicativo,eu,pretérito imperfeito
nomeias,nomear,indicativo,tu,presente
nomeaste,nomear,indicativo,tu,pretérito perfeito
nomeavas,nomear,indicativo,tu,pretérito imperfeito
nomeia,nomear,indicativo,ele/ela,presente
nomeou,nomear,indicativo,ele/ela,pretérito perfeito
nomeava,nomear,indicativo,ele/ela,pretérito imperfeito
nomeamos,nomear,indicativo,nós,presente
nomeámos / nomeamos,nomear,indicativo,nós,pretérito perfeito
nomeávamos,nomear,indicativo,nós,pretérito imperfeito
nomeais,nomear,indicativo,vós,presente
nomeastes,nomear,indicativo,vós,pretérito perfeito
nomeáveis,nomear,indicativo,vós,pretérito imperfeito
nomeiam,nomear,indicativo,eles/elas,presente
nomearam,nomear,indicativo,eles/elas,pretérito perfeito
nomeavam,nomear,indicativo,eles/elas,pretérito imperfeito
nomeara,nomear,indicativo,eu,pret. mais-que-perfeito
nomearei,nomear,indicativo,eu,futuro
nomearia,nomear,indicativo,eu,condicional
nomearas,nomear,indicativo,tu,pret. mais-que-perfeito
nomearás,nomear,indicativo,tu,futuro
nomearias,nomear,indicativo,tu,condicional
nomeara,nomear,indicativo,ele/ela,pret. mais-que-perfeito
nomeará,nomear,indicativo,ele/ela,futuro
nomearia,nomear,indicativo,ele/ela,condicional
nomeáramos,nomear,indicativo,nós,pret. mais-que-perfeito
nomearemos,nomear,indicativo,nós,futuro
nomearíamos,nomear,indicativo,nós,condicional
nomeáreis,nomear,indicativo,vós,pret. mais-que-perfeito
nomeareis,nomear,indicativo,vós,futuro
nomearíeis,nomear,indicativo,vós,condicional
nomearam,nomear,indicativo,eles/elas,pret. mais-que-perfeito
nomearão,nomear,indicativo,eles/elas,futuro
nomeariam,nomear,indicativo,eles/elas,condicional
soo,soar,indicativo,eu,presente
soei,soar,indicativo,eu,pretérito perfeito
soava,soar,indicativo,eu,pretérito imperfeito
soas,soar,indicativo,tu,presente
soaste,soar,indicativo,tu,pretérito perfeito
soavas,soar,indicativo,tu,pretérito imperfeito
soa,soar,indicativo,ele/ela,presente
soou,soar,indicativo,ele/ela,pretérito perfeito
soava,soar,indicativo,ele/ela,pretérito imperfeito
soamos,soar,indicativo,nós,presente
soámos / soamos,soar,indicativo,nós,pretérito perfeito
soávamos,soar,indicativo,nós,pretérito imperfeito
soais,soar,indicativo,vós,presente
soastes,soar,indicativo,vós,pretérito perfeito
soáveis,soar,indicativo,vós,pretérito imperfeito
soam,soar,indicativo,eles/elas,presente
soaram,soar,indicativo,eles/elas,pretérito perfeito
soavam,soar,indicativo,eles/elas,pretérito imperfeito
soara,soar,indicativo,eu,pret. mais-que-perfeito
soarei,soar,indicativo,eu,futuro
soaria,soar,indicativo,eu,condicional
soaras,soar,indicativo,tu,pret. mais-que-perfeito
soarás,soar,indicativo,tu,futuro
soarias,soar,indicativo,tu,condicional
soara,soar,indicativo,ele/ela,pret. mais-que-perfeito
soará,soar,indicativo,ele/ela,futuro
soaria,soar,indicativo,ele/ela,condicional
soáramos,soar,indicativo,nós,pret. mais-que-perfeito
soaremos,soar,indicativo,nós,futuro
soaríamos,soar,indicativo,nós,condicional
soáreis,soar,indicativo,vós,pret. mais-que-perfeito
soareis,soar,indicativo,vós,futuro
soaríeis,soar,indicativo,vós,condicional
soaram,soar,indicativo,eles/elas,pret. mais-que-perfeito
soarão,soar,indicativo,eles/elas,futuro
