conj,infinitive,mode,pess,time
crendo,crer,gerundio,,
crido,crer,participio,,
creio,crer,indicativo,eu,presente
cri,crer,indicativo,eu,pretérito perfeito
cria,crer,indicativo,eu,pretérito imperfeito
crês,crer,indicativo,tu,presente
creste,crer,indicativo,tu,pretérito perfeito
crias,crer,indicativo,tu,pretérito imperfeito
crê,crer,indicativo,ele/ela,presente
creu,crer,indicativo,ele/ela,pretérito perfeito
cria,crer,indicativo,ele/ela,pretérito imperfeito
cremos,crer,indicativo,nós,presente
cremos,crer,indicativo,nós,pretérito perfeito
críamos,crer,indicativo,nós,pretérito imperfeito
credes,crer,indicativo,vós,presente
crestes,crer,indicativo,vós,pretérito perfeito
críeis,crer,indicativo,vós,pretérito imperfeito
creem,crer,indicativo,eles/elas,presente
creram,crer,indicativo,eles/elas,pretérito perfeito
criam,crer,indicativo,eles/elas,pretérito imperfeito
crera,crer,indicativo,eu,pret. mais-que-perfeito
crerei,crer,indicativo,eu,futuro
creria,crer,indicativo,eu,condicional
creras,crer,indicativo,tu,pret. mais-que-perfeito
crerás,crer,indicativo,tu,futuro
crerias,crer,indicativo,tu,condicional
crera,crer,indicativo,ele/ela,pret. mais-que-perfeito
crerá,crer,indicativo,ele/ela,futuro
creria,crer,indicativo,ele/ela,condicional
crêramos,crer,indicativo,nós,pret. mais-que-perfeito
creremos,crer,indicativo,nós,futuro
creríamos,crer,indicativo,nós,condicional
crêreis,crer,indicativo,vós,pret. mais-que-perfeito
crereis,crer,indicativo,vós,futuro
creríeis,crer,indicativo,vós,condicional
creram,crer,indicativo,eles/elas,pret. mais-que-perfeito
crerão,crer,indicativo,eles/elas,futuro
creriam,crer,indicativo,eles/elas,condicional
creia,crer,conjuntivo subjuntivo (br),eu,presente
cresse,crer,conjuntivo subjuntivo (br),eu,pretérito imperfeito
crer,crer,conjuntivo subjuntivo (br),eu,futuro
creias,crer,conjuntivo subjuntivo (br),tu,presente
cresses,crer,conjuntivo subjuntivo (br),tu,pretérito imperfeito
creres,crer,conjuntivo subjuntivo (br),tu,futuro
creia,crer,conjuntivo subjuntivo (br),ele/ela,presente
cresse,crer,conjuntivo subjuntivo (br),ele/ela,pretérito imperfeito
crer,crer,conjuntivo subjuntivo (br),ele/ela,futuro
creiamos,crer,conjuntivo subjuntivo (br),nós,presente
crêssemos,crer,conjuntivo subjuntivo (br),nós,pretérito imperfeito
crermos,crer,conjuntivo subjuntivo (br),nós,futuro
creiais,crer,conjuntivo subjuntivo (br),vós,presente
crêsseis,crer,conjuntivo subjuntivo (br),vós,pretérito imperfeito
crerdes,crer,conjuntivo subjuntivo (br),vós,futuro
creiam,crer,conjuntivo subjuntivo (br),eles/elas,presente
cressem,crer,conjuntivo subjuntivo (br),eles/elas,pretérito imperfeito
crerem,crer,conjuntivo subjuntivo (br),eles/elas,futuro
crer,crer,imperativo,eu,infinitivo pessoal
creres,crer,imperativo,tu,infinitivo pessoal
crê,crer,imperativo,tu,afirmativo
creias,crer,imperativo,tu,negativo
crer,crer,imperativo,ele/ela,infinitivo pessoal
creia,crer,imperativo,ele/ela,afirmativo
creia,crer,imperativo,ele/ela,negativo
crermos,crer,imperativo,nós,infinitivo pessoal
creiamos,crer,imperativo,nós,afirmativo
creiamos,crer,imperativo,nós,negativo
crerdes,crer,imperativo,vós,infinitivo pessoal
crede,crer,imperativo,vós,afirmativo
creiais,crer,imperativo,vós,negativo
crerem,crer,imperativo,eles/elas,infinitivo pessoal
creiam,crer,imperativo,eles/elas,afirmativo
creiam,crer,imperativo,eles/elas,negativo
caminhando,caminhar,gerundio,,
caminhado,caminhar,participio,,
caminho,caminhar,indicativo,eu,presente
caminhei,caminhar,indicativo,eu,pretérito perfeito
caminhava,caminhar,indicativo,eu,pretérito imperfeito
caminhas,caminhar,indicativo,tu,presente
caminhaste,caminhar,indicativo,tu,pretérito perfeito
caminhavas,caminhar,indicativo,tu,pretérito imperfeito
caminha,caminhar,indicativo,ele/ela,presente
caminhou,caminhar,indicativo,ele/ela,pretérito perfeito
caminhava,caminhar,indicativo,ele/ela,pretérito imperfeito
caminhamos,caminhar,indicativo,nós,presente
caminhámos / caminhamos,caminhar,indicativo,nós,pretérito perfeito
caminhávamos,caminhar,indicativo,nós,pretérito imperfeito
caminhais,caminhar,indicativo,vós,presente
caminhastes,caminhar,indicativo,vós,pretérito perfeito
caminháveis,caminhar,indicativo,vós,pretérito imperfeito
caminham,caminhar,indicativo,eles/elas,presente
caminharam,caminhar,indicativo,eles/elas,pretérito perfeito
caminhavam,caminhar,indicativo,eles/elas,pretérito imperfeito
caminhara,caminhar,indicativo,eu,pret. mais-que-perfeito
caminharei,caminhar,indicativo,eu,futuro
caminharia,caminhar,indicativo,eu,condicional
caminharas,caminhar,indicativo,tu,pret. mais-que-perfeito
caminharás,caminhar,indicativo,tu,futuro
caminharias,caminhar,indicativo,tu,condicional
caminhara,caminhar,indicativo,ele/ela,pret. mais-que-perfeito
caminhará,caminhar,indicativo,ele/ela,futuro
caminharia,caminhar,indicativo,ele/ela,condicional
caminháramos,caminhar,indicativo,nós,pret. mais-que-perfeito
caminharemos,caminhar,indicativo,nós,futuro
caminharíamos,caminhar,indicativo,nós,condicional
caminháreis,caminhar,indicativo,vós,pret. mais-que-perfeito
caminhareis,caminhar,indicativo,vós,futuro
caminharíeis,caminhar,indicativo,vós,condicional
caminharam,caminhar,indicativo,eles/elas,pret. mais-que-perfeito
caminharão,caminhar,indicativo,eles/elas,futuro
caminhariam,caminhar,indicativo,eles/elas,condicional
caminhe,caminhar,conjuntivo subjuntivo (br),eu,presente
caminhasse,caminhar,conjuntivo subjuntivo (br),eu,pretérito imperfeito
caminhar,caminhar,conjuntivo subjuntivo (br),eu,futuro
caminhes,caminhar,conjuntivo subjuntivo (br),tu,presente
caminhasses,caminhar,conjuntivo subjuntivo (br),tu,pretérito imperfeito
caminhares,caminhar,conjuntivo subjuntivo (br),tu,futuro
caminhe,caminhar,conjuntivo subjuntivo (br),ele/ela,presente
caminhasse,caminhar,conjuntivo subjuntivo (br),ele/ela,pretérito imperfeito
caminhar,caminhar,conjuntivo subjuntivo (br),ele/ela,futuro
caminhemos,caminhar,conjuntivo subjuntivo (br),nós,presente
caminhássemos,caminhar,conjuntivo subjuntivo (br),nós,pretérito imperfeito
caminharmos,caminhar,conjuntivo subjuntivo (br),nós,futuro
caminheis,caminhar,conjuntivo subjuntivo (br),vós,presente
caminhásseis,caminhar,conjuntivo subjuntivo (br),vós,pretérito imperfeito
caminhardes,caminhar,conjuntivo subjuntivo (br),vós,futuro
caminhem,caminhar,conjuntivo subjuntivo (br),eles/elas,presente
caminhassem,caminhar,conjuntivo subjuntivo (br),eles/elas,pretérito imperfeito
caminharem,caminhar,conjuntivo subjuntivo (br),eles/elas,futuro
caminhar,caminhar,imperativo,eu,infinitivo pessoal
caminhares,caminhar,imperativo,tu,infinitivo pessoal
caminha,caminhar,imperativo,tu,afirmativo
caminhes,caminhar,imperativo,tu,negativo
caminhar,caminhar,imperativo,ele/ela,infinitivo pessoal
caminhe,caminhar,imperativo,ele/ela,afirmativo
caminhe,caminhar,imperativo,ele/ela,negativo
caminharmos,caminhar,imperativo,nós,infinitivo pessoal
caminhemos,caminhar,imperativo,nós,afirmativo
caminhemos,caminhar,imperativo,nós,negativo
caminhardes,caminhar,imperativo,vós,infinitivo pessoal
caminhai,caminhar,imperativo,vós,afirmativo
caminheis,caminhar,imperativo,vós,negativo
caminharem,caminhar,imperativo,eles/elas,infinitivo pessoal
caminhem,caminhar,imperativo,eles/elas,afirmativo
caminhem,caminhar,imperativo,eles/elas,negativo
concedendo,conceder,gerundio,,
concedido,conceder,participio,,
concedo,conceder,indicativo,eu,presente
concedi,conceder,indicativo,eu,pretérito perfeito
concedia,conceder,indicativo,eu,pretérito imperfeito
concedes,conceder,indicativo,tu,presente
concedeste,conceder,indicativo,tu,pretérito perfeito
concedias,conceder,indicativo,tu,pretérito imperfeito
concede,conceder,indicativo,ele/ela,presente
concedeu,conceder,indicativo,ele/ela,pretérito perfeito
concedia,conceder,indicativo,ele/ela,pretérito imperfeito
concedemos,conceder,indicativo,nós,presente
concedemos,conceder,indicativo,nós,pretérito perfeito
concedíamos,conceder,indicativo,nós,pretérito imperfeito
concedeis,conceder,indicativo,vós,presente
concedestes,conceder,indicativo,vós,pretérito perfeito
concedíeis,conceder,indicativo,vós,pretérito imperfeito
concedem,conceder,indicativo,eles/elas,presente
concederam,conceder,indicativo,eles/elas,pretérito perfeito
concediam,conceder,indicativo,eles/elas,pretérito imperfeito
concedera,conceder,indicativo,eu,pret. mais-que-perfeito
concederei,conceder,indicativo,eu,futuro
concederia,conceder,indicativo,eu,condicional
concederas,conceder,indicativo,tu,pret. mais-que-perfeito
concederás,conceder,indicativo,tu,futuro
concederias,conceder,indicativo,tu,condicional
concedera,conceder,indicativo,ele/ela,pret. mais-que-perfeito
concederá,conceder,indicativo,ele/ela,futuro
concederia,conceder,indicativo,ele/ela,condicional
