conj,infinitive,mode,pess,time
removendo,remover,gerundio,,
removido,remover,participio,,
removo,remover,indicativo,eu,presente
removi,remover,indicativo,eu,pretérito perfeito
removia,remover,indicativo,eu,pretérito imperfeito
removes,remover,indicativo,tu,presente
removeste,remover,indicativo,tu,pretérito perfeito
removias,remover,indicativo,tu,pretérito imperfeito
remove,remover,indicativo,ele/ela,presente
removeu,remover,indicativo,ele/ela,pretérito perfeito
removia,remover,indicativo,ele/ela,pretérito imperfeito
removemos,remover,indicativo,nós,presente
removemos,remover,indicativo,nós,pretérito perfeito
removíamos,remover,indicativo,nós,pretérito imperfeito
removeis,remover,indicativo,vós,presente
removestes,remover,indicativo,vós,pretérito perfeito
removíeis,remover,indicativo,vós,pretérito imperfeito
removem,remover,indicativo,eles/elas,presente
removeram,remover,indicativo,eles/elas,pretérito perfeito
removiam,remover,indicativo,eles/elas,pretérito imperfeito
removera,remover,indicativo,eu,pret. mais-que-perfeito
removerei,remover,indicativo,eu,futuro
removeria,remover,indicativo,eu,condicional
removeras,remover,indicativo,tu,pret. mais-que-perfeito
removerás,remover,indicativo,tu,futuro
removerias,remover,indicativo,tu,condicional
removera,remover,indicativo,ele/ela,pret. mais-que-perfeito
removerá,remover,indicativo,ele/ela,futuro
removeria,remover,indicativo,ele/ela,condicional
removêramos,remover,indicativo,nós,pret. mais-que-perfeito
removeremos,remover,indicativo,nós,futuro
removeríamos,remover,indicativo,nós,condicional
removêreis,remover,indicativo,vós,pret. mais-que-perfeito
removereis,remover,indicativo,vós,futuro
removeríeis,remover,indicativo,vós,condicional
removeram,remover,indicativo,eles/elas,pret. mais-que-perfeito
removerão,remover,indicativo,eles/elas,futuro
removeriam,remover,indicativo,eles/elas,condicional
remova,remover,conjuntivo subjuntivo (br),eu,presente
removesse,remover,conjuntivo subjuntivo (br),eu,pretérito imperfeito
remover,remover,conjuntivo subjuntivo (br),eu,futuro
removas,remover,conjuntivo subjuntivo (br),tu,presente
removesses,remover,conjuntivo subjuntivo (br),tu,pretérito imperfeito
removeres,remover,conjuntivo subjuntivo (br),tu,futuro
remova,remover,conjuntivo subjuntivo (br),ele/ela,presente
removesse,remover,conjuntivo subjuntivo (br),ele/ela,pretérito imperfeito
remover,remover,conjuntivo subjuntivo (br),ele/ela,futuro
removamos,remover,conjuntivo subjuntivo (br),nós,presente
removêssemos,remover,conjuntivo subjuntivo (br),nós,pretérito imperfeito
removermos,remover,conjuntivo subjuntivo (br),nós,futuro
removais,remover,conjuntivo subjuntivo (br),vós,presente
removêsseis,remover,conjuntivo subjuntivo (br),vós,pretérito imperfeito
removerdes,remover,conjuntivo subjuntivo (br),vós,futuro
removam,remover,conjuntivo subjuntivo (br),eles/elas,presente
removessem,remover,conjuntivo subjuntivo (br),eles/elas,pretérito imperfeito
removerem,remover,conjuntivo subjuntivo (br),eles/elas,futuro
remover,remover,imperativo,eu,infinitivo pessoal
removeres,remover,imperativo,tu,infinitivo pessoal
remove,remover,imperativo,tu,afirmativo
removas,remover,imperativo,tu,negativo
remover,remover,imperativo,ele/ela,infinitivo pessoal
remova,remover,imperativo,ele/ela,afirmativo
remova,remover,imperativo,ele/ela,negativo
removermos,remover,imperativo,nós,infinitivo pessoal
removamos,remover,imperativo,nós,afirmativo
removamos,remover,imperativo,nós,negativo
removerdes,remover,imperativo,vós,infinitivo pessoal
removei,remover,imperativo,vós,afirmativo
removais,remover,imperativo,vós,negativo
removerem,remover,imperativo,eles/elas,infinitivo pessoal
removam,remover,imperativo,eles/elas,afirmativo
removam,remover,imperativo,eles/elas,negativo
espiando,espiar,gerundio,,
espiado,espiar,participio,,
espio,espiar,indicativo,eu,presente
espiei,espiar,indicativo,eu,pretérito perfeito
espiava,espiar,indicativo,eu,pretérito imperfeito
espias,espiar,indicativo,tu,presente
espiaste,espiar,indicativo,tu,pretérito perfeito
espiavas,espiar,indicativo,tu,pretérito imperfeito
espia,espiar,indicativo,ele/ela,presente
espiou,espiar,indicativo,ele/ela,pretérito perfeito
espiava,espiar,indicativo,ele/ela,pretérito imperfeito
espiamos,espiar,indicativo,nós,presente
espiámos / espiamos,espiar,indicativo,nós,pretérito perfeito
espiávamos,espiar,indicativo,nós,pretérito imperfeito
espiais,espiar,indicativo,vós,presente
espiastes,espiar,indicativo,vós,pretérito perfeito
espiáveis,espiar,indicativo,vós,pretérito imperfeito
espiam,espiar,indicativo,eles/elas,presente
espiaram,espiar,indicativo,eles/elas,pretérito perfeito
espiavam,espiar,indicativo,eles/elas,pretérito imperfeito
espiara,espiar,indicativo,eu,pret. mais-que-perfeito
espiarei,espiar,indicativo,eu,futuro
espiaria,espiar,indicativo,eu,condicional
espiaras,espiar,indicativo,tu,pret. mais-que-perfeito
espiarás,espiar,indicativo,tu,futuro
espiarias,espiar,indicativo,tu,condicional
espiara,espiar,indicativo,ele/ela,pret. mais-que-perfeito
espiará,espiar,indicativo,ele/ela,futuro
espiaria,espiar,indicativo,ele/ela,condicional
espiáramos,espiar,indicativo,nós,pret. mais-que-perfeito
espiaremos,espiar,indicativo,nós,futuro
espiaríamos,espiar,indicativo,nós,condicional
