conj,infinitive,mode,pess,time
rodo,rodar,indicativo,eu,presente
rodei,rodar,indicativo,eu,pretérito perfeito
rodava,rodar,indicativo,eu,pretérito imperfeito
rodas,rodar,indicativo,tu,presente
rodaste,rodar,indicativo,tu,pretérito perfeito
rodavas,rodar,indicativo,tu,pretérito imperfeito
roda,rodar,indicativo,ele/ela,presente
rodou,rodar,indicativo,ele/ela,pretérito perfeito
rodava,rodar,indicativo,ele/ela,pretérito imperfeito
rodamos,rodar,indicativo,nós,presente
rodámos / rodamos,rodar,indicativo,nós,pretérito perfeito
rodávamos,rodar,indicativo,nós,pretérito imperfeito
rodais,rodar,indicativo,vós,presente
rodastes,rodar,indicativo,vós,pretérito perfeito
rodáveis,rodar,indicativo,vós,pretérito imperfeito
rodam,rodar,indicativo,eles/elas,presente
rodaram,rodar,indicativo,eles/elas,pretérito perfeito
rodavam,rodar,indicativo,eles/elas,pretérito imperfeito
rodara,rodar,indicativo,eu,pret. mais-que-perfeito
rodarei,rodar,indicativo,eu,futuro
rodaria,rodar,indicativo,eu,condicional
rodaras,rodar,indicativo,tu,pret. mais-que-perfeito
rodarás,rodar,indicativo,tu,futuro
rodarias,rodar,indicativo,tu,condicional
rodara,rodar,indicativo,ele/ela,pret. mais-que-perfeito
rodará,rodar,indicativo,ele/ela,futuro
rodaria,rodar,indicativo,ele/ela,condicional
rodáramos,rodar,indicativo,nós,pret. mais-que-perfeito
rodaremos,rodar,indicativo,nós,futuro
rodaríamos,rodar,indicativo,nós,condicional
rodáreis,rodar,indicativo,vós,pret. mais-que-perfeito
rodareis,rodar,indicativo,vós,futuro
rodaríeis,rodar,indicativo,vós,condicional
rodaram,rodar,indicativo,eles/elas,pret. mais-que-perfeito
rodarão,rodar,indicativo,eles/elas,futuro
rodariam,rodar,indicativo,eles/elas,condicional
chovo,chover,indicativo,eu,presente
chovi,chover,indicativo,eu,pretérito perfeito
chovia,chover,indicativo,eu,pretérito imperfeito
choves,chover,indicativo,tu,presente
choveste,chover,indicativo,tu,pretérito perfeito
chovias,chover,indicativo,tu,pretérito imperfeito
chove,chover,indicativo,ele/ela,presente
choveu,chover,indicativo,ele/ela,pretérito perfeito
chovia,chover,indicativo,ele/ela,pretérito imperfeito
chovemos,chover,indicativo,nós,presente
chovemos,chover,indicativo,nós,pretérito perfeito
chovíamos,chover,indicativo,nós,pretérito imperfeito
choveis,chover,indicativo,vós,presente
chovestes,chover,indicativo,vós,pretérito perfeito
chovíeis,chover,indicativo,vós,pretérito imperfeito
chovem,chover,indicativo,eles/elas,presente
choveram,chover,indicativo,eles/elas,pretérito perfeito
choviam,chover,indicativo,eles/elas,pretérito imperfeito
chovera,chover,indicativo,eu,pret. mais-que-perfeito
choverei,chover,indicativo,eu,futuro
choveria,chover,indicativo,eu,condicional
choveras,chover,indicativo,tu,pret. mais-que-perfeito
choverás,chover,indicativo,tu,futuro
choverias,chover,indicativo,tu,condicional
chovera,chover,indicativo,ele/ela,pret. mais-que-perfeito
choverá,chover,indicativo,ele/ela,futuro
