conj,infinitive,mode,pess,time
canto,cantar,indicativo,eu,presente
cantei,cantar,indicativo,eu,pretérito perfeito
cantava,cantar,indicativo,eu,pretérito imperfeito
cantas,cantar,indicativo,tu,presente
cantaste,cantar,indicativo,tu,pretérito perfeito
cantavas,cantar,indicativo,tu,pretérito imperfeito
canta,cantar,indicativo,ele/ela,presente
cantou,cantar,indicativo,ele/ela,pretérito perfeito
cantava,cantar,indicativo,ele/ela,pretérito imperfeito
cantamos,cantar,indicativo,nós,presente
cantámos / cantamos,cantar,indicativo,nós,pretérito perfeito
cantávamos,cantar,indicativo,nós,pretérito imperfeito
cantais,cantar,indicativo,vós,presente
cantastes,cantar,indicativo,vós,pretérito perfeito
cantáveis,cantar,indicativo,vós,pretérito imperfeito
cantam,cantar,indicativo,eles/elas,presente
cantaram,cantar,indicativo,eles/elas,pretérito perfeito
cantavam,cantar,indicativo,eles/elas,pretérito imperfeito
cantara,cantar,indicativo,eu,pret. mais-que-perfeito
cantarei,cantar,indicativo,eu,futuro
cantaria,cantar,indicativo,eu,condicional
cantaras,cantar,indicativo,tu,pret. mais-que-perfeito
cantarás,cantar,indicativo,tu,futuro
cantarias,cantar,indicativo,tu,condicional
cantara,cantar,indicativo,ele/ela,pret. mais-que-perfeito
cantará,cantar,indicativo,ele/ela,futuro
cantaria,cantar,indicativo,ele/ela,condicional
cantáramos,cantar,indicativo,nós,pret. mais-que-perfeito
cantaremos,cantar,indicativo,nós,futuro
cantaríamos,cantar,indicativo,nós,condicional
cantáreis,cantar,indicativo,vós,pret. mais-que-perfeito
cantareis,cantar,indicativo,vós,futuro
cantaríeis,cantar,indicativo,vós,condicional
cantaram,cantar,indicativo,eles/elas,pret. mais-que-perfeito
cantarão,cantar,indicativo,eles/elas,futuro
cantariam,cantar,indicativo,eles/elas,condicional
afasto,afastar,indicativo,eu,presente
afastei,afastar,indicativo,eu,pretérito perfeito
afastava,afastar,indicativo,eu,pretérito imperfeito
afastas,afastar,indicativo,tu,presente
afastaste,afastar,indicativo,tu,pretérito perfeito
afastavas,afastar,indicativo,tu,pretérito imperfeito
afasta,afastar,indicativo,ele/ela,presente
afastou,afastar,indicativo,ele/ela,pretérito perfeito
afastava,afastar,indicativo,ele/ela,pretérito imperfeito
afastamos,afastar,indicativo,nós,presente
afastámos / afastamos,afastar,indicativo,nós,pretérito perfeito
afastávamos,afastar,indicativo,nós,pretérito imperfeito
afastais,afastar,indicativo,vós,presente
afastastes,afastar,indicativo,vós,pretérito perfeito
afastáveis,afastar,indicativo,vós,pretérito imperfeito
afastam,afastar,indicativo,eles/elas,presente
afastaram,afastar,indicativo,eles/elas,pretérito perfeito
afastavam,afastar,indicativo,eles/elas,pretérito imperfeito
afastara,afastar,indicativo,eu,pret. mais-que-perfeito
afastarei,afastar,indicativo,eu,futuro
afastaria,afastar,indicativo,eu,condicional
afastaras,afastar,indicativo,tu,pret. mais-que-perfeito
afastarás,afastar,indicativo,tu,futuro
afastarias,afastar,indicativo,tu,condicional
afastara,afastar,indicativo,ele/ela,pret. mais-que-perfeito
afastará,afastar,indicativo,ele/ela,futuro
afastaria,afastar,indicativo,ele/ela,condicional
afastáramos,afastar,indicativo,nós,pret. mais-que-perfeito
afastaremos,afastar,indicativo,nós,futuro
afastaríamos,afastar,indicativo,nós,condicional
afastáreis,afastar,indicativo,vós,pret. mais-que-perfeito
afastareis,afastar,indicativo,vós,futuro
afastaríeis,afastar,indicativo,vós,condicional
afastaram,afastar,indicativo,eles/elas,pret. mais-que-perfeito
afastarão,afastar,indicativo,eles/elas,futuro
afastariam,afastar,indicativo,eles/elas,condicional
admito,admitir,indicativo,eu,presente
admiti,admitir,indicativo,eu,pretérito perfeito
admitia,admitir,indicativo,eu,pretérito imperfeito
admites,admitir,indicativo,tu,presente
admitiste,admitir,indicativo,tu,pretérito perfeito
admitias,admitir,indicativo,tu,pretérito imperfeito
admite,admitir,indicativo,ele/ela,presente
admitiu,admitir,indicativo,ele/ela,pretérito perfeito
admitia,admitir,indicativo,ele/ela,pretérito imperfeito
admitimos,admitir,indicativo,nós,presente
admitimos,admitir,indicativo,nós,pretérito perfeito
admitíamos,admitir,indicativo,nós,pretérito imperfeito
admitis,admitir,indicativo,vós,presente
admitistes,admitir,indicativo,vós,pretérito perfeito
admitíeis,admitir,indicativo,vós,pretérito imperfeito
admitem,admitir,indicativo,eles/elas,presente
admitiram,admitir,indicativo,eles/elas,pretérito perfeito
admitiam,admitir,indicativo,eles/elas,pretérito imperfeito
admitira,admitir,indicativo,eu,pret. mais-que-perfeito
admitirei,admitir,indicativo,eu,futuro
admitiria,admitir,indicativo,eu,condicional
admitiras,admitir,indicativo,tu,pret. mais-que-perfeito
admitirás,admitir,indicativo,tu,futuro
admitirias,admitir,indicativo,tu,condicional
admitira,admitir,indicativo,ele/ela,pret. mais-que-perfeito
admitirá,admitir,indicativo,ele/ela,futuro
admitiria,admitir,indicativo,ele/ela,condicional
admitíramos,admitir,indicativo,nós,pret. mais-que-perfeito
admitiremos,admitir,indicativo,nós,futuro
admitiríamos,admitir,indicativo,nós,condicional
admitíreis,admitir,indicativo,vós,pret. mais-que-perfeito
admitireis,admitir,indicativo,vós,futuro
admitiríeis,admitir,indicativo,vós,condicional
admitiram,admitir,indicativo,eles/elas,pret. mais-que-perfeito
admitirão,admitir,indicativo,eles/elas,futuro
admitiriam,admitir,indicativo,eles/elas,condicional
fixo,fixar,indicativo,eu,presente
fixei,fixar,indicativo,eu,pretérito perfeito
fixava,fixar,indicativo,eu,pretérito imperfeito
fixas,fixar,indicativo,tu,presente
fixaste,fixar,indicativo,tu,pretérito perfeito
fixavas,fixar,indicativo,tu,pretérito imperfeito
fixa,fixar,indicativo,ele/ela,presente
fixou,fixar,indicativo,ele/ela,pretérito perfeito
fixava,fixar,indicativo,ele/ela,pretérito imperfeito
fixamos,fixar,indicativo,nós,presente
fixámos / fixamos,fixar,indicativo,nós,pretérito perfeito
fixávamos,fixar,indicativo,nós,pretérito imperfeito
fixais,fixar,indicativo,vós,presente
fixastes,fixar,indicativo,vós,pretérito perfeito
fixáveis,fixar,indicativo,vós,pretérito imperfeito
fixam,fixar,indicativo,eles/elas,presente
fixaram,fixar,indicativo,eles/elas,pretérito perfeito
