conj,infinitive,mode,pess,time
restauro,restaurar,indicativo,eu,presente
restaurei,restaurar,indicativo,eu,pretérito perfeito
restaurava,restaurar,indicativo,eu,pretérito imperfeito
restauras,restaurar,indicativo,tu,presente
restauraste,restaurar,indicativo,tu,pretérito perfeito
restauravas,restaurar,indicativo,tu,pretérito imperfeito
restaura,restaurar,indicativo,ele/ela,presente
restaurou,restaurar,indicativo,ele/ela,pretérito perfeito
restaurava,restaurar,indicativo,ele/ela,pretérito imperfeito
restauramos,restaurar,indicativo,nós,presente
restaurámos / restauramos,restaurar,indicativo,nós,pretérito perfeito
restaurávamos,restaurar,indicativo,nós,pretérito imperfeito
restaurais,restaurar,indicativo,vós,presente
restaurastes,restaurar,indicativo,vós,pretérito perfeito
restauráveis,restaurar,indicativo,vós,pretérito imperfeito
restauram,restaurar,indicativo,eles/elas,presente
restauraram,restaurar,indicativo,eles/elas,pretérito perfeito
restauravam,restaurar,indicativo,eles/elas,pretérito imperfeito
restaurara,restaurar,indicativo,eu,pret. mais-que-perfeito
restaurarei,restaurar,indicativo,eu,futuro
restauraria,restaurar,indicativo,eu,condicional
restauraras,restaurar,indicativo,tu,pret. mais-que-perfeito
restaurarás,restaurar,indicativo,tu,futuro
restaurarias,restaurar,indicativo,tu,condicional
restaurara,restaurar,indicativo,ele/ela,pret. mais-que-perfeito
restaurará,restaurar,indicativo,ele/ela,futuro
restauraria,restaurar,indicativo,ele/ela,condicional
restauráramos,restaurar,indicativo,nós,pret. mais-que-perfeito
restauraremos,restaurar,indicativo,nós,futuro
restauraríamos,restaurar,indicativo,nós,condicional
restauráreis,restaurar,indicativo,vós,pret. mais-que-perfeito
restaurareis,restaurar,indicativo,vós,futuro
restauraríeis,restaurar,indicativo,vós,condicional
restauraram,restaurar,indicativo,eles/elas,pret. mais-que-perfeito
restaurarão,restaurar,indicativo,eles/elas,futuro
restaurariam,restaurar,indicativo,eles/elas,condicional
roço,roçar,indicativo,eu,presente
rocei,roçar,indicativo,eu,pretérito perfeito
roçava,roçar,indicativo,eu,pretérito imperfeito
roças,roçar,indicativo,tu,presente
roçaste,roçar,indicativo,tu,pretérito perfeito
roçavas,roçar,indicativo,tu,pretérito imperfeito
roça,roçar,indicativo,ele/ela,presente
roçou,roçar,indicativo,ele/ela,pretérito perfeito
roçava,roçar,indicativo,ele/ela,pretérito imperfeito
