conj,infinitive,mode,pess,time
misturo,misturar,indicativo,eu,presente
misturei,misturar,indicativo,eu,pretérito perfeito
misturava,misturar,indicativo,eu,pretérito imperfeito
misturas,misturar,indicativo,tu,presente
misturaste,misturar,indicativo,tu,pretérito perfeito
misturavas,misturar,indicativo,tu,pretérito imperfeito
mistura,misturar,indicativo,ele/ela,presente
misturou,misturar,indicativo,ele/ela,pretérito perfeito
misturava,misturar,indicativo,ele/ela,pretérito imperfeito
misturamos,misturar,indicativo,nós,presente
misturámos / misturamos,misturar,indicativo,nós,pretérito perfeito
misturávamos,misturar,indicativo,nós,pretérito imperfeito
misturais,misturar,indicativo,vós,presente
misturastes,misturar,indicativo,vós,pretérito perfeito
misturáveis,misturar,indicativo,vós,pretérito imperfeito
misturam,misturar,indicativo,eles/elas,presente
misturaram,misturar,indicativo,eles/elas,pretérito perfeito
misturavam,misturar,indicativo,eles/elas,pretérito imperfeito
misturara,misturar,indicativo,eu,pret. mais-que-perfeito
misturarei,misturar,indicativo,eu,futuro
misturaria,misturar,indicativo,eu,condicional
misturaras,misturar,indicativo,tu,pret. mais-que-perfeito
misturarás,misturar,indicativo,tu,futuro
misturarias,misturar,indicativo,tu,condicional
misturara,misturar,indicativo,ele/ela,pret. mais-que-perfeito
misturará,misturar,indicativo,ele/ela,futuro
misturaria,misturar,indicativo,ele/ela,condicional
misturáramos,misturar,indicativo,nós,pret. mais-que-perfeito
misturaremos,misturar,indicativo,nós,futuro
misturaríamos,misturar,indicativo,nós,condicional
misturáreis,misturar,indicativo,vós,pret. mais-que-perfeito
misturareis,misturar,indicativo,vós,futuro
misturaríeis,misturar,indicativo,vós,condicional
misturaram,misturar,indicativo,eles/elas,pret. mais-que-perfeito
misturarão,misturar,indicativo,eles/elas,futuro
misturariam,misturar,indicativo,eles/elas,condicional
despeço,despedir,indicativo,eu,presente
despedi,despedir,indicativo,eu,pretérito perfeito
despedia,despedir,indicativo,eu,pretérito imperfeito
despedes,despedir,indicativo,tu,presente
despediste,despedir,indicativo,tu,pretérito perfeito
despedias,despedir,indicativo,tu,pretérito imperfeito
despede,despedir,indicativo,ele/ela,presente
despediu,despedir,indicativo,ele/ela,pretérito perfeito
despedia,despedir,indicativo,ele/ela,pretérito imperfeito
despedimos,despedir,indicativo,nós,presente
despedimos,despedir,indicativo,nós,pretérito perfeito
despedíamos,despedir,indicativo,nós,pretérito imperfeito
despedis,despedir,indicativo,vós,presente
despedistes,despedir,indicativo,vós,pretérito perfeito
despedíeis,despedir,indicativo,vós,pretérito imperfeito
despedem,despedir,indicativo,eles/elas,presente
despediram,despedir,indicativo,eles/elas,pretérito perfeito
despediam,despedir,indicativo,eles/elas,pretérito imperfeito
despedira,despedir,indicativo,eu,pret. mais-que-perfeito
despedirei,despedir,indicativo,eu,futuro
despediria,despedir,indicativo,eu,condicional
despediras,despedir,indicativo,tu,pret. mais-que-perfeito
despedirás,despedir,indicativo,tu,futuro
despedirias,despedir,indicativo,tu,condicional
despedira,despedir,indicativo,ele/ela,pret. mais-que-perfeito
despedirá,despedir,indicativo,ele/ela,futuro
despediria,despedir,indicativo,ele/ela,condicional
despedíramos,despedir,indicativo,nós,pret. mais-que-perfeito
despediremos,despedir,indicativo,nós,futuro
despediríamos,despedir,indicativo,nós,condicional
despedíreis,despedir,indicativo,vós,pret. mais-que-perfeito
despedireis,despedir,indicativo,vós,futuro
despediríeis,despedir,indicativo,vós,condicional
despediram,despedir,indicativo,eles/elas,pret. mais-que-perfeito
despedirão,despedir,indicativo,eles/elas,futuro
despediriam,despedir,indicativo,eles/elas,condicional
supero,superar,indicativo,eu,presente
superei,superar,indicativo,eu,pretérito perfeito
superava,superar,indicativo,eu,pretérito imperfeito
superas,superar,indicativo,tu,presente
